source, interaction, target
Vespa velutina, eats , Pyrus communis 
Vespa velutina, eats , Phaonia valida 
Vespa velutina, eats , Aphrophora salicina 
Vespa velutina, eats , Hedera helix 
Vespa velutina, eats , Apodemus flavicollis 
Vespa velutina, eats , Noctua fimbriata 
Vespa velutina, eats , Stomorhina lunata 
Vespa velutina, eats , Ferdinandea cuprea 
Vespa velutina, eats , Graphomya maculata 
Vespa velutina, eats , Tipula paludosa 
Vespa velutina, eats , Phasia aurigera 
Vespa velutina, eats , Volinus sticticus 
Vespa velutina, visitsFlowersOf , Rubus fruticosus 
Vespa velutina, visitsFlowersOf , Pittosporum tobira 
Vespa velutina, visitsFlowersOf , Oxalis corniculata 
Vespa velutina, visitsFlowersOf , Caryopteris incana 
Vespa velutina, visitsFlowersOf , Angelica sylvestris 
Vespa velutina, visitsFlowersOf , Oenothera lindheimeri 
Vespa velutina, visitsFlowersOf , Oenothera glazioviana 
Vespa velutina, visitsFlowersOf , Euphorbia characias 
Vespa velutina, visitsFlowersOf , Elaeagnus multiflora 
Vespa velutina, visitsFlowersOf , Fatsia japonica 
Vespa velutina, visitsFlowersOf , Aralia elata 
Vespa velutina, visitsFlowersOf , Mentha suaveolens 
Vespa velutina, visitsFlowersOf , Lantana camara 
Vespa velutina, visitsFlowersOf , Fagopyrum esculentum 
Vespa velutina, visitsFlowersOf , Allium fistulosum 
Vespa velutina, visitsFlowersOf , Musa basjoo 
Vespa velutina, visitsFlowersOf , Thalia dealbata 
Vespa velutina, visitsFlowersOf , Ampelopsis heterophylla 
Vespa velutina, visits , Angelica sylvestris 
Vespa velutina, visits , Heracleum sphondylium 
Vespa velutina, preysOn , Helophilus trivittatus 
Vespa velutina, preysOn , Xanthogramma pedissequum 
Vespa velutina, preysOn , Criorhina berberina 
Vespa velutina, preysOn , Chrysomya albiceps 
Vespa velutina, preysOn , Lucilia caesar 
Vespa velutina, preysOn , Lucilia sericata 
Vespa velutina, preysOn , Sarcophaga carnaria 
Vespa velutina, preysOn , Syritta pipiens 
Vespa velutina, preysOn , Volucella bombylans 
Vespa velutina, preysOn , Xylota segnis 
Vespa velutina, preysOn , Eupeodes luniger 
Vespa velutina, preysOn , Xanthandrus comtus 
Vespa velutina, preysOn , Temnostoma vespiforme 
Vespa velutina, preysOn , Chrysotoxum cautum 
Vespa velutina, preysOn , Caliprobola speciosa 
Vespa velutina, preysOn , Musca domestica 
Vespa velutina, preysOn , Calliphora vicina 
Vespa velutina, eats , Theronia atalantae 
Vespa velutina, eats , Cylindromyia bicolor 
Vespa velutina, eats , Apatura ilia 
Vespa velutina, eats , Pararge aegeria 
Vespa velutina, eats , Prunus domestica 
Vespa velutina, eats , Panorpa cognata 
Vespa velutina, eats , Cabera exanthemata 
Vespa velutina, eats , Polyommatus icarus 
Vespa velutina, eats , Phaonia pallida 
Vespa velutina, eats , Phaonia tuguriorum 
Vespa velutina, eats , Gymnosoma nudifrons 
Vespa velutina, eats , Dicranopalpus ramosus 
Vespa velutina, eats , Xiphydria longicollis 
Vespa velutina, eats , Fatsia japonica 
Vespa velutina, eats , Crataegus germanica 
Vespa velutina, eats , Prunus avium 
Vespa velutina, eats , Musa basjoo 
Vespa velutina, eats , Cervus elaphus 
Vespa velutina, eats , Oryctolagus cuniculus 
Vespa velutina, eats , Agalenatea redii 
Vespa velutina, eats , Larinioides sclopetarius 
Vespa velutina, eats , Metellina mengei 
Vespa velutina, eats , Metellina segmentata 
Vespa velutina, eats , Pseudomallada prasinus 
Vespa velutina, eats , Himacerus apterus 
Vespa velutina, eats , Coenonympha pamphilus 
Vespa velutina, eats , Vanessa atalanta 
Vespa velutina, eats , Nomophila noctuella 
Vespa velutina, eats , Orgyia antiqua 
Vespa velutina, eats , Autographa gamma 
Vespa velutina, eats , Noctua pronuba 
Vespa velutina, eats , Agrotis exclamationis 
Vespa velutina, eats , Lacanobia oleracea 
Vespa velutina, eats , Pholidoptera griseoaptera 
Vespa velutina, eats , Meconema meridionale 
Vespa velutina, eats , Volucella zonaria 
Vespa velutina, eats , Volucella inanis 
Vespa velutina, eats , Xanthandrus comtus 
Vespa velutina, eats , Scaeva selenitica 
Vespa velutina, eats , Meliscaeva auricollis 
Vespa velutina, eats , Neomyia cornicina 
Vespa velutina, eats , Stomoxys calcitrans 
Vespa velutina, eats , Musca domestica 
Vespa velutina, eats , Onesia viarum 
Vespa velutina, eats , Cynomya mortuorum 
Vespa velutina, eats , Linnaemya vulpina 
Vespa velutina, eats , Chaetopteryx villosa 
Vespa velutina, eats , Bombus lapidarius 
Vespa velutina, eats , Vespa velutina 
Pernis apivorus, preysOn , Vespa velutina 
Gallus gallus, preysOn , Vespa velutina 
Beauveria bassiana, hasHost , Vespa velutina 
Varroa destructor, hasHost , Vespa velutina 
Beauveria bassiana, pathogenOf , Galleria mellonella 
Beauveria bassiana, hasHost , Brassicogethes aeneus 
Beauveria bassiana, pathogenOf , Leptinotarsa decemlineata 
Beauveria bassiana, pathogenOf , Lymantria dispar 
Beauveria bassiana, pathogenOf , Cydia pomonella 
Beauveria bassiana, pathogenOf , Phaseolus vulgaris 
Varroa destructor, ectoparasiteOf , Apis mellifera 
Beauveria bassiana, pathogenOf , Ostrinia nubilalis 
Beauveria bassiana, hasHost , Ostrinia nubilalis 
Beauveria bassiana, pathogenOf , Pieris brassicae 
Beauveria bassiana, pathogenOf , Sitophilus oryzae 
Beauveria bassiana, pathogenOf , Plutella xylostella 
Beauveria bassiana, hasHost , Leptinotarsa decemlineata 
Varroa destructor, parasiteOf , Apis mellifera 
Beauveria bassiana, hasHost , Pieris rapae 
Beauveria bassiana, pathogenOf , Otiorhynchus sulcatus 
Beauveria bassiana, pathogenOf , Hypera postica 
Beauveria bassiana, hasHost , Ips typographus 
Beauveria bassiana, pathogenOf , Tenebrio molitor 
Beauveria bassiana, pathogenOf , Coccinella septempunctata 
Beauveria bassiana, pathogenOf , Musca domestica 
Beauveria bassiana, hasHost , Sitona hispidulus 
Beauveria bassiana, hasHost , Hypera postica 
Pernis apivorus, eats , Turdus pilaris 
Beauveria bassiana, pathogenOf , Zeuzera pyrina 
Beauveria bassiana, pathogenOf , Calliptamus italicus 
Beauveria bassiana, pathogenOf , Sitona lineatus 
Beauveria bassiana, pathogenOf , Ips typographus 
Beauveria bassiana, pathogenOf , Otiorhynchus ovatus 
Beauveria bassiana, pathogenOf , Nezara viridula 
Beauveria bassiana, pathogenOf , Panolis flammea 
Beauveria bassiana, pathogenOf , Cossus cossus 
Beauveria bassiana, hasHost , Carpocapsa pomonella 
Beauveria bassiana, hasHost , Cydia pomonella 
Beauveria bassiana, hasHost , Helicoverpa armigera 
Gallus gallus, preysOn , Salamandra salamandra 
Beauveria bassiana, pathogenOf , Anchomenus dorsalis 
Beauveria bassiana, pathogenOf , Sceliphron caementarium 
Beauveria bassiana, pathogenOf , Amara plebeja 
Beauveria bassiana, pathogenOf , Bembidion lampros 
Beauveria bassiana, pathogenOf , Loricera pilicornis 
Beauveria bassiana, pathogenOf , Amara familiaris 
Beauveria bassiana, pathogenOf , Amara aenea 
Beauveria bassiana, parasiteOf , Carabus violaceus 
Beauveria bassiana, parasiteOf , Broscus cephalotes 
Beauveria bassiana, hasHost , Coccus hesperidum 
Beauveria bassiana, hasHost , Leucoma salicis 
Beauveria bassiana, pathogenOf , Chrysolina brunsvicensis 
Pernis apivorus, eats , Sylvia atricapilla 
Varroa destructor, hasHost , Apis mellifera 
Varroa destructor, eats , Apis mellifera 
Apis mellifera, pathogenOf , Varroa destructor 
Pernis apivorus, preysOn , Turdus philomelos 
Pernis apivorus, eats , Podarcis siculus 
Pernis apivorus, eats , Talpa europaea 
Pernis apivorus, eats , Natrix tessellata 
Pernis apivorus, eats , Garrulus glandarius 
Pernis apivorus, eats , Bufo bufo 
Pernis apivorus, eats , Emberiza citrinella 
Pernis apivorus, eats , Podarcis muralis 
Pernis apivorus, eats , Hyla arborea 
Pernis apivorus, eats , Rana temporaria 
Pernis apivorus, eats , Rana arvalis 
Pernis apivorus, eats , Pelophylax bedriagae 
Pernis apivorus, eats , Apis mellifera 
Pernis apivorus, eats , Prunella modularis 
Pernis apivorus, eats , Turdus merula 
Pernis apivorus, eats , Turdus philomelos 
Pernis apivorus, eats , Muscicapa striata 
Pernis apivorus, eats , Columba palumbus 
Pernis apivorus, eats , Perdix perdix 
Pernis apivorus, eats , Lacerta agilis 
Pernis apivorus, eats , Zootoca vivipara 
Pernis apivorus, eats , Anguis fragilis 
Pernis apivorus, eats , Mustela nivalis 
Pernis apivorus, eats , Pelophylax ridibundus 
Pernis apivorus, eats , Pelophylax lessonae 
Pernis apivorus, eats , Hyla meridionalis 
Beauveria bassiana, pathogenOf , Ahasverus advena 
Beauveria bassiana, pathogenOf , Diprion pini 
Beauveria bassiana, pathogenOf , Gyrohypnus angustatus 
Beauveria bassiana, pathogenOf , Sminthurus viridis 
Beauveria bassiana, pathogenOf , Oulema gallaeciana 
Beauveria bassiana, pathogenOf , Gonioctena olivacea 
Beauveria bassiana, pathogenOf , Plagiosterna aenea 
Beauveria bassiana, pathogenOf , Musca autumnalis 
Beauveria bassiana, pathogenOf , Acanthocinus aedilis 
Beauveria bassiana, pathogenOf , Lilioceris lilii 
Beauveria bassiana, pathogenOf , Chilocorus bipustulatus 
Beauveria bassiana, pathogenOf , Hylurgops palliatus 
Beauveria bassiana, pathogenOf , Tomicus piniperda 
Beauveria bassiana, pathogenOf , Scolytus scolytus 
Beauveria bassiana, pathogenOf , Hylobius abietis 
Beauveria bassiana, pathogenOf , Ips cembrae 
Beauveria bassiana, pathogenOf , Orthotomicus laricis 
Beauveria bassiana, pathogenOf , Pamphilius betulae 
Beauveria bassiana, pathogenOf , Pentatoma rufipes 
Beauveria bassiana, pathogenOf , Hedya nubiferana 
Beauveria bassiana, pathogenOf , Exochomus quadripustulatus 
Beauveria bassiana, pathogenOf , Delphacodes striatella 
Beauveria bassiana, pathogenOf , Vespula germanica 
Beauveria bassiana, pathogenOf , Culex pipiens 
Beauveria bassiana, pathogenOf , Stereonychus fraxini 
Beauveria bassiana, pathogenOf , Corythucha ciliata 
Beauveria bassiana, pathogenOf , Diprion similis 
Beauveria bassiana, pathogenOf , Neodiprion sertifer 
Beauveria bassiana, pathogenOf , Trialeurodes vaporariorum 
Beauveria bassiana, pathogenOf , Autographa gamma 
Beauveria bassiana, pathogenOf , Oulema melanopus 
Beauveria bassiana, pathogenOf , Brachyderes incanus 
Beauveria bassiana, pathogenOf , Forficula auricularia 
Beauveria bassiana, pathogenOf , Rhizophagus grandis 
Beauveria bassiana, pathogenOf , Cnephasia longana 
Beauveria bassiana, pathogenOf , Acanthocinus griseus 
Beauveria bassiana, pathogenOf , Melolontha melolontha 
Beauveria bassiana, pathogenOf , Helicoverpa armigera 
Beauveria bassiana, pathogenOf , Aphodius fimetarius 
Beauveria bassiana, pathogenOf , Megachile rotundata 
Beauveria bassiana, pathogenOf , Apis mellifera 
Beauveria bassiana, pathogenOf , Omonadus floralis 
Beauveria bassiana, pathogenOf , Alphitobius diaperinus 
Beauveria bassiana, hasHost , Zea mays 
Beauveria bassiana, hasHost , Myelois circumvoluta 
Beauveria bassiana, hasHost , Hylurgops palliatus 
Beauveria bassiana, hasHost , Tomicus piniperda 
Beauveria bassiana, hasHost , Ips sexdentatus 
Beauveria bassiana, hasHost , Dryocoetes autographus 
Beauveria bassiana, hasHost , Hylurgus ligniperda 
Beauveria bassiana, hasHost , Scolytus multistriatus 
Beauveria bassiana, hasHost , Hylastinus obscurus 
Beauveria bassiana, hasHost , Galleria mellonella 
Beauveria bassiana, hasHost , Euproctis chrysorrhoea 
Apis mellifera, eats , Salvia rosmarinus 
Apis mellifera, visitsFlowersOf , Melilotus officinalis 
Apis mellifera, visitsFlowersOf , Trifolium repens 
Apis mellifera, eats , Foeniculum vulgare 
Apis mellifera, pollinates , Melilotus officinalis 
Apis mellifera, eats , Trifolium repens 
Polistes dominula, eats , Foeniculum vulgare 
Apis mellifera, visitsFlowersOf , Salvia rosmarinus 
Polistes dominula, visits , Foeniculum vulgare 
Apis mellifera, eats , Raphanus sativus 
Apis mellifera, visitsFlowersOf , Ruta graveolens 
Apis mellifera, eats , Sixalix atropurpurea 
Eristalis arbustorum, eats , Foeniculum vulgare 
Polistes dominula, visitsFlowersOf , Foeniculum vulgare 
Apis mellifera, eats , Cirsium vulgare 
Apis mellifera, visitsFlowersOf , Taraxacum officinale 
Apis mellifera, visitsFlowersOf , Rubus idaeus 
Apis mellifera, visitsFlowersOf , Foeniculum vulgare 
Apis mellifera, visitsFlowersOf , Raphanus sativus 
Apis mellifera, eats , Eschscholzia californica 
Apis mellifera, visitsFlowersOf , Apis mellifera 
Apis mellifera, visitsFlowersOf , Reynoutria japonica 
Apis mellifera, visitsFlowersOf , Prunus avium 
Eristalis tenax, visitsFlowersOf , Hedera helix 
Apis mellifera, visitsFlowersOf , Asclepias syriaca 
Vanessa atalanta, visitsFlowersOf , Buddleja davidii 
Apis mellifera, visitsFlowersOf , Echium vulgare 
Apis mellifera, eats , Centaurea solstitialis 
Apis mellifera, visitsFlowersOf , Centaurea stoebe 
Apis mellifera, eats , Borago officinalis 
Apis mellifera, visitsFlowersOf , Hedera helix 
Apis mellifera, eats , Helianthus annuus 
Apis mellifera, eats , Hedera helix 
Apis mellifera, eats , Lantana camara 
Apis mellifera, hasHost , Melilotus albus 
Vanessa atalanta, eats , Buddleja davidii 
Syritta pipiens, eats , Foeniculum vulgare 
Apis mellifera, visitsFlowersOf , Borago officinalis 
Apis mellifera, visitsFlowersOf , Eschscholzia californica 
Apis mellifera, eats , Cosmos bipinnatus 
Apis mellifera, visitsFlowersOf , Symphyotrichum novae-angliae 
Apis mellifera, eats , Verbesina alternifolia 
Apis mellifera, visitsFlowersOf , Helianthus annuus 
Apis mellifera, visitsFlowersOf , Prunella vulgaris 
Apis mellifera, eats , Helminthotheca echioides 
Polistes dominula, visitsFlowersOf , Hedera helix 
Eristalis arbustorum, visitsFlowersOf , Ageratina altissima 
Vespula germanica, visitsFlowersOf , Hedera helix 
Polistes dominula, visits , Daucus carota 
Apis mellifera, pollinates , Cirsium arvense 
Vanessa atalanta, visitsFlowersOf , Echinacea purpurea 
Apis mellifera, visitsFlowersOf , Vitex agnus-castus 
Apis mellifera, eats , Taraxacum officinale 
Syritta pipiens, visitsFlowersOf , Ageratina altissima 
Syritta pipiens, visitsFlowersOf , Hedera helix 
Apis mellifera, visitsFlowersOf , Melilotus albus 
Apis mellifera, eats , Phyla nodiflora 
Vespula vulgaris, visitsFlowersOf , Hedera helix 
Apis mellifera, visitsFlowersOf , Prunus domestica 
Vanessa atalanta, hasHost , Urtica dioica 
Apis mellifera, visitsFlowersOf , Ageratina altissima 
Apis mellifera, eats , Tropaeolum majus 
Vanessa atalanta, visitsFlowersOf , Hedera helix 
Volucella zonaria, visitsFlowersOf , Hedera helix 
Eristalis pertinax, visitsFlowersOf , Prunus domestica 
Episyrphus balteatus, visitsFlowersOf , Hedera helix 
Apis mellifera, eats , Pittosporum tobira 
Apis mellifera, eats , Hirschfeldia incana 
Apis mellifera, visitsFlowersOf , Echium pininana 
Apis mellifera, visitsFlowersOf , Plantago lanceolata 
Stomorhina lunata, visitsFlowersOf , Hedera helix 
Eristalis arbustorum, visitsFlowersOf , Daucus carota 
Apis mellifera, visitsFlowersOf , Cirsium vulgare 
Apis mellifera, visitsFlowersOf , Mentha aquatica 
Apis mellifera, visitsFlowersOf , Tropaeolum majus 
Apis mellifera, eats , Rubus armeniacus 
Apis mellifera, eats , Lavandula angustifolia 
Apis mellifera, visitsFlowersOf , Sisymbrium loeselii 
Apis mellifera, visitsFlowersOf , Phyla nodiflora 
Apis mellifera, visitsFlowersOf , Glechoma hederacea 
Apis mellifera, visitsFlowersOf , Lantana camara 
Apis mellifera, eats , Escallonia rubra 
Apis mellifera, eats , Crassula ovata 
Bombus lapidarius, visitsFlowersOf , Trifolium repens 
Apis mellifera, visitsFlowersOf , Malus domestica 
Polistes dominula, visits , Asclepias syriaca 
Apis mellifera, visitsFlowersOf , Trifolium pratense 
Apis mellifera, visitsFlowersOf , Echinacea purpurea 
Apis mellifera, eats , Melilotus albus 
Episyrphus balteatus, visitsFlowersOf , Coriandrum sativum 
Apis mellifera, visitsFlowersOf , Rosmarinus officinalis 
Vanessa atalanta, eats , Hedera helix 
Apis mellifera, visitsFlowersOf , Solidago canadensis 
Apis mellifera, visitsFlowersOf , Daucus carota 
Apis mellifera, eats , Lavandula stoechas 
Apis mellifera, eats , Cynoglossum amabile 
Vespula vulgaris, eats , Hedera helix 
Apis mellifera, visitsFlowersOf , Veronica polita 
Apis mellifera, pollinates , Medicago sativa 
Apis mellifera, pollinates , Phacelia tanacetifolia 
Apis mellifera, eats , Centaurea cyanus 
Polyommatus icarus, eats , Lotus corniculatus 
Apis mellifera, visitsFlowersOf , Medicago sativa 
Apis mellifera, visitsFlowersOf , Centaurea solstitialis 
Apis mellifera, visitsFlowersOf , Anchusa officinalis 
Polistes dominula, eats , Daucus carota 
Apis mellifera, visitsFlowersOf , Eutrochium maculatum 
Bombus lapidarius, visitsFlowersOf , Crepis tectorum 
Apis mellifera, visitsFlowersOf , Sixalix atropurpurea 
Apis mellifera, visitsFlowersOf , Eriobotrya japonica 
Apis mellifera, eats , Buddleja davidii 
Apis mellifera, eats , Passiflora caerulea 
Apis mellifera, visitsFlowersOf , Calluna vulgaris 
Apis mellifera, visitsFlowersOf , Cirsium arvense 
Apis mellifera, visitsFlowersOf , Symphoricarpos albus 
Apis mellifera, pollinates , Asclepias syriaca 
Apis mellifera, pollinates , Sonchus arvensis 
Apis mellifera, hasHost , Melilotus officinalis 
Syritta pipiens, visitsFlowersOf , Achillea millefolium 
Apis mellifera, visitsFlowersOf , Escallonia rubra 
Apis mellifera, eats , Vicia villosa 
Apis mellifera, visitsFlowersOf , Malva alcea 
Polistes dominula, visitsFlowersOf , Daucus carota 
Syritta pipiens, visitsFlowersOf , Foeniculum vulgare 
Eristalis arbustorum, eats , Achillea millefolium 
Eristalis pertinax, eats , Hedera helix 
Apis mellifera, visitsFlowersOf , Hirschfeldia incana 
Apis mellifera, visitsFlowersOf , Cephalanthus occidentalis 
Apis mellifera, visitsFlowersOf , Passiflora caerulea 
Apis mellifera, eats , Clarkia unguiculata 
Apis mellifera, eats , Silybum marianum 
Apis mellifera, eats , Eriobotrya japonica 
Apis mellifera, eats , Prunus avium 
Apis mellifera, eats , Mentha pulegium 
Apis mellifera, eats , Persicaria capitata 
Vespula germanica, eats , Hedera helix 
Eupeodes latifasciatus, visitsFlowersOf , Crepis tectorum 
Syritta pipiens, visitsFlowersOf , Daucus carota 
Eristalis tenax, visitsFlowersOf , Ageratina altissima 
Eristalis arbustorum, visitsFlowersOf , Symphyotrichum pilosum 
Apis mellifera, visitsFlowersOf , Lythrum salicaria 
Apis mellifera, eats , Gilia capitata 
Apis mellifera, eats , Symphyotrichum novae-angliae 
Apis mellifera, eats , Erigeron glaucus 
Apis mellifera, eats , Cakile maritima 
Apis mellifera, eats , Origanum vulgare 
Episyrphus balteatus, visitsFlowersOf , Ranunculus acris 
Apis mellifera, visitsFlowersOf , Knautia arvensis 
Apis mellifera, visitsFlowersOf , Carduus nutans 
Polyommatus icarus, visitsFlowersOf , Hedera helix 
Vanessa atalanta, eats , Urtica dioica 
Syritta pipiens, visitsFlowersOf , Erigeron annuus 
Calliphora vicina, visitsFlowersOf , Hedera helix 
Apis mellifera, visitsFlowersOf , Achillea millefolium 
Apis mellifera, visits , Trifolium repens 
Apis mellifera, eats , Lotus corniculatus 
Apis mellifera, eats , Achillea millefolium 
Apis mellifera, eats , Helianthus tuberosus 
Apis mellifera, eats , Rubus ursinus 
Apis mellifera, eats , Dipsacus laciniatus 
Vespula germanica, visits , Hedera helix 
Lucilia sericata, visitsFlowersOf , Coriandrum sativum 
Eupeodes latifasciatus, visitsFlowersOf , Plantago lanceolata 
Polyommatus icarus, visitsFlowersOf , Lotus corniculatus 
Syritta pipiens, eats , Erigeron karvinskianus 
Syritta pipiens, eats , Daucus carota 
Eristalis arbustorum, visitsFlowersOf , Achillea millefolium 
Apis mellifera, visitsFlowersOf , Lavandula angustifolia 
Apis mellifera, visitsFlowersOf , Origanum vulgare 
Apis mellifera, eats , Zinnia elegans 
Apis mellifera, eats , Solidago canadensis 
Apis mellifera, eats , Dahlia pinnata 
Apis mellifera, eats , Daucus carota 
Apis mellifera, visitsFlowersOf , Thymus serpyllum 
Polistes dominula, visitsFlowersOf , Campsis radicans 
Volucella zonaria, eats , Hedera helix 
Eristalis tenax, visitsFlowersOf , Calendula officinalis 
Eristalis tenax, visitsFlowersOf , Symphyotrichum novae-angliae 
Eristalis tenax, visitsFlowersOf , Foeniculum vulgare 
Eristalis tenax, eats , Achillea millefolium 
Eristalis arbustorum, visitsFlowersOf , Foeniculum vulgare 
Apis mellifera, visitsFlowersOf , Euphorbia virgata 
Apis mellifera, visitsFlowersOf , Helminthotheca echioides 
Apis mellifera, visitsFlowersOf , Gilia capitata 
Apis mellifera, visitsFlowersOf , Erigeron glaucus 
Apis mellifera, visitsFlowersOf , Eranthis hyemalis 
Apis mellifera, visitsFlowersOf , Teucrium fruticans 
Apis mellifera, visits , Asclepias syriaca 
Apis mellifera, visits , Symphyotrichum novae-angliae 
Apis mellifera, eats , Lathyrus latifolius 
Apis mellifera, eats , Asclepias speciosa 
Apis mellifera, eats , Erigeron karvinskianus 
Apis mellifera, eats , Stachys byzantina 
Apis mellifera, eats , Mentha canadensis 
Apis mellifera, eats , Verbena bonariensis 
Apis mellifera, eats , Allium triquetrum 
Vespula vulgaris, visits , Fatsia japonica 
Apis mellifera, visitsFlowersOf , Campanula portenschlagiana 
Apis mellifera, visitsFlowersOf , Echinops exaltatus 
Apis mellifera, visitsFlowersOf , Bidens pilosa 
Apis mellifera, visitsFlowersOf , Pyrus communis 
Syritta pipiens, visits , Achillea millefolium 
Syritta pipiens, visits , Erigeron annuus 
Eristalis arbustorum, eats , Erigeron glaucus 
Apis mellifera, visitsFlowersOf , Salvia yangii 
Apis mellifera, visitsFlowersOf , Verbesina alternifolia 
Apis mellifera, visitsFlowersOf , Dasiphora fruticosa 
Apis mellifera, visitsFlowersOf , Oenothera speciosa 
Apis mellifera, visitsFlowersOf , Asclepias incarnata 
Apis mellifera, visitsFlowersOf , Prunus laurocerasus 
Apis mellifera, visitsFlowersOf , Prunus tomentosa 
Apis mellifera, visitsFlowersOf , Mentha pulegium 
Apis mellifera, visitsFlowersOf , Symphyotrichum lateriflorum 
Apis mellifera, pollinates , Apis mellifera 
Apis mellifera, hasHost , Asclepias syriaca 
Apis mellifera, eats , Trifolium hirtum 
Apis mellifera, eats , Ocimum basilicum 
Apis mellifera, eats , Teucrium fruticans 
Tipula paludosa, eats , Zea mays 
Tipula paludosa, eats , Beta vulgaris 
Tipula paludosa, eats , Lactuca sativa 
Apis mellifera, mutualistOf , Lavandula stoechas 
Apis mellifera, hasHost , Salix exigua 
Apatura ilia, eats , Populus tremula 
Mantis religiosa, eats , Apis mellifera 
Araneus diadematus, preysOn , Apis mellifera 
Coenonympha pamphilus, visitsFlowersOf , Hedera helix 
Vanessa atalanta, visitsFlowersOf , Taraxacum officinale 
Vanessa atalanta, visitsFlowersOf , Symphyotrichum novae-angliae 
Vanessa atalanta, visitsFlowersOf , Lantana camara 
Vanessa atalanta, visitsFlowersOf , Cephalanthus occidentalis 
Vanessa atalanta, visits , Hedera helix 
Syritta pipiens, hasHost , Achillea millefolium 
Syritta pipiens, eats , Achillea millefolium 
Eristalis tenax, visitsFlowersOf , Taraxacum officinale 
Eristalis tenax, visitsFlowersOf , Cichorium intybus 
Eristalis tenax, visitsFlowersOf , Sisymbrium loeselii 
Eristalis arbustorum, eats , Lobularia maritima 
Eristalis arbustorum, eats , Daucus carota 
Eristalis pertinax, visitsFlowersOf , Hedera helix 
Apis mellifera, visitsFlowersOf , Lobularia maritima 
Apis mellifera, visitsFlowersOf , Crassula ovata 
Apis mellifera, visitsFlowersOf , Oenothera lindheimeri 
Apis mellifera, visitsFlowersOf , Symphyotrichum pilosum 
Apis mellifera, visitsFlowersOf , Cosmos bipinnatus 
Apis mellifera, visitsFlowersOf , Hypochaeris radicata 
Apis mellifera, visitsFlowersOf , Centaurea cyanus 
Apis mellifera, visitsFlowersOf , Fatsia japonica 
Apis mellifera, visitsFlowersOf , Lamium purpureum 
Apis mellifera, visitsFlowersOf , Allium schoenoprasum 
Apis mellifera, visitsFlowersOf , Crocus tommasinianus 
Apis mellifera, eats , Rubus fruticosus 
Apis mellifera, eats , Monarda fistulosa 
Apis mellifera, eats , Castanea sativa 
Apis mellifera, eats , Echinacea purpurea 
Apis mellifera, eats , Reynoutria japonica 
Vespula germanica, visits , Foeniculum vulgare 
Vespula germanica, preysOn , Apis mellifera 
Pararge aegeria, eats , Brachypodium sylvaticum 
Pararge aegeria, eats , Dactylis glomerata 
Eupeodes latifasciatus, visitsFlowersOf , Dianthus barbatus 
Eristalis tenax, visitsFlowersOf , Daucus carota 
Episyrphus balteatus, visitsFlowersOf , Plantago lanceolata 
Episyrphus balteatus, visitsFlowersOf , Leucanthemum vulgare 
