"","speciesName_globi","canonicalName_GBIF.canonicalName","canonicalName_GBIF.scientificName","kingdom.kingdom","kingdom.matchType","usageKey"
"54","Betacoronavirus sp.",NA,NA,NA,NA,NA
"55","Bhanja virus",NA,NA,NA,NA,NA
"56","Bitter gourd yellow vein virus",NA,NA,NA,NA,NA
"57","Border disease virus",NA,NA,NA,NA,NA
"58","Borna disease virus",NA,NA,NA,NA,NA
"59","Bos taurus papillomavirus 20",NA,NA,NA,NA,NA
"60","Bos taurus x Bison bison",NA,NA,NA,NA,NA
"61","Bovine adenovirus B",NA,NA,NA,NA,NA
"62","Bovine adenovirus C",NA,NA,NA,NA,NA
"63","Bovine adenovirus D",NA,NA,NA,NA,NA
"64","Bovine adenovirus E",NA,NA,NA,NA,NA
"65","Bovine astrovirus",NA,NA,NA,NA,NA
"66","Bovine astrovirus B170/HK",NA,NA,NA,NA,NA
"67","Bovine astrovirus B18/HK",NA,NA,NA,NA,NA
"68","Bovine astrovirus B76-2/HK",NA,NA,NA,NA,NA
"69","Bovine astrovirus B76/HK",NA,NA,NA,NA,NA
"70","Bovine astrovirus CH13",NA,NA,NA,NA,NA
"71","Bovine astrovirus NeuroS1",NA,NA,NA,NA,NA
"72","Bovine calicivirus strain Kirklareli",NA,NA,NA,NA,NA
"73","Bovine enterovirus",NA,NA,NA,NA,NA
"74","Bovine ephemeral fever virus",NA,NA,NA,NA,NA
"75","Bovine faeces associated circular DNA virus 1",NA,NA,NA,NA,NA
"76","Bovine faeces associated circular DNA virus 2",NA,NA,NA,NA,NA
"77","Bovine herpesvirus 1",NA,NA,NA,NA,NA
"78","Bovine herpesvirus 2",NA,NA,NA,NA,NA
"79","Bovine herpesvirus 4",NA,NA,NA,NA,NA
"80","Bovine herpesvirus 5",NA,NA,NA,NA,NA
"81","Bovine kobuvirus",NA,NA,NA,NA,NA
"82","Bovine nebovirus",NA,NA,NA,NA,NA
"83","Bovine papillomavirus",NA,NA,NA,NA,NA
"84","Bovine papillomavirus 7Z",NA,NA,NA,NA,NA
"85","Bovine parainfluenza virus 3",NA,NA,NA,NA,NA
"86","Bovine parvovirus",NA,NA,NA,NA,NA
"87","Bovine picobirnavirus",NA,NA,NA,NA,NA
"88","Bovine polyomavirus 2",NA,NA,NA,NA,NA
"89","Bovine polyomavirus 3",NA,NA,NA,NA,NA
"90","Bovine respiratory syncytial virus",NA,NA,NA,NA,NA
"91","Bovine retrovirus CH15",NA,NA,NA,NA,NA
"92","Bovine rhinovirus 1",NA,NA,NA,NA,NA
"93","Bovine serum-associated circular virus",NA,NA,NA,NA,NA
"94","Bovine viral diarrhea virus 1",NA,NA,NA,NA,NA
"95","Bovine viral diarrhea virus 2",NA,NA,NA,NA,NA
"96","Buckland Valley grapevine yellows phytoplasma",NA,NA,NA,NA,NA
"97","Bunyamwera virus",NA,NA,NA,NA,NA
"98","Calicivirus isolate TCG",NA,NA,NA,NA,NA
"99","California encephalitis virus",NA,NA,NA,NA,NA
"100","Caligula japonica",NA,NA,NA,NA,NA
"101","Calovo virus",NA,NA,NA,NA,NA
"102","Calycina",NA,NA,NA,NA,NA
"103","Camellia oleifera amalgavirus 1",NA,NA,NA,NA,NA
"104","Caprine herpesvirus 1",NA,NA,NA,NA,NA
"105","Ceratostoma hystricina",NA,NA,NA,NA,NA
"106","Ceratostoma subrufum",NA,NA,NA,NA,NA
"107","Cervid herpesvirus",NA,NA,NA,NA,NA
"108","Cervine adenovirus",NA,NA,NA,NA,NA
"109","Ceuthospora glandicola",NA,NA,NA,NA,NA
"110","cf. Cotoneaster franchetii",NA,NA,NA,NA,NA
"111","cf. Eucera sp.",NA,NA,NA,NA,NA
"112","cf. Macropis sp.",NA,NA,NA,NA,NA
"113","Cherry leaf scorch small circular viroid-like RNA 1",NA,NA,NA,NA,NA
"114","Cherry small circular viroid-like RNA",NA,NA,NA,NA,NA
"115","Cherry virus Trakiya",NA,NA,NA,NA,NA
"116","Chicken associated smacovirus",NA,NA,NA,NA,NA
"117","Chicken astrovirus",NA,NA,NA,NA,NA
"118","Chicken enteric coronavirus",NA,NA,NA,NA,NA
"119","Chicken megrivirus",NA,NA,NA,NA,NA
"120","Chicken orivirus 1",NA,NA,NA,NA,NA
"121","Chicken picobirnavirus",NA,NA,NA,NA,NA
"122","Chicken picornavirus 1",NA,NA,NA,NA,NA
"123","Chicken picornavirus 4",NA,NA,NA,NA,NA
"124","Chicken stool-associated circular virus",NA,NA,NA,NA,NA
"125","Chicken stool associated circular virus 1",NA,NA,NA,NA,NA
"126","Chicken stool associated circular virus 2",NA,NA,NA,NA,NA
"127","Chronic bee paralysis virus",NA,NA,NA,NA,NA
"128","Cloudy wing virus",NA,NA,NA,NA,NA
"129","Convulvulos tricolor",NA,NA,NA,NA,NA
"130","Coronavirus PREDICT_CoV-100",NA,NA,NA,NA,NA
"131","Coronavirus Rabbit_CoV/La06_256/Ory_cun/ESP/2006",NA,NA,NA,NA,NA
"132","Coronavirus Rabbit_CoV/La09_24/Ory_cun/ESP/2009",NA,NA,NA,NA,NA
"133","Coronavirus Rabbit_CoV/La09_31/Ory_cun/ESP/2009",NA,NA,NA,NA,NA
"134","Coronavirus Rabbit_CoV/La09_32/Ory_cun/ESP/2009",NA,NA,NA,NA,NA
"135","Coronavirus Rabbit_CoV/La09_48/Ory_cun/ESP/2009",NA,NA,NA,NA,NA
"136","Coronavirus RCoV/D_RMU10_1087/Apo_fla/GER/2010",NA,NA,NA,NA,NA
"137","Coronavirus RCoV/RMU10_3052/Apo_fla/GER/2010",NA,NA,NA,NA,NA
"138","Coronavirus RCoV/RMU10_3147/Apo_fla/GER/2010",NA,NA,NA,NA,NA
"139","Coronavirus Susurluk10",NA,NA,NA,NA,NA
"140","Corticium",NA,NA,NA,NA,NA
"141","Corticium juniperophilum",NA,NA,NA,NA,NA
"142","Corticium subroseum",NA,NA,NA,NA,NA
"143","Crateagus sp.",NA,NA,NA,NA,NA
"144","Crepidotus",NA,NA,NA,NA,NA
"145","Crimean-Congo hemorrhagic fever nairovirus",NA,NA,NA,NA,NA
"146","Crimean-Congo hemorrhagic fever virus",NA,NA,NA,NA,NA
"147","Crithidia acanthocephali",NA,NA,NA,NA,NA
"148","Crithidia bombi",NA,NA,NA,NA,NA
"149","Crithidia luciliae",NA,NA,NA,NA,NA
"150","Crithidia mellificae",NA,NA,NA,NA,NA
"151","Crocidura russula cytomegalovirus 1",NA,NA,NA,NA,NA
"152","CRYPTOSPOIDIUM GALLI",NA,NA,NA,NA,NA
"153","Cryptosporidium ryanae",NA,NA,NA,NA,NA
"154","Cudotogaster heterographus",NA,NA,NA,NA,NA
"155","Cytisus cf. × boskoopii",NA,NA,NA,NA,NA
"156","DAVAINEA   =RAILLIETINA (R.) ECHINOBOTHRIDA",NA,NA,NA,NA,NA
"157","DAVAINEA  =RAILLIETINA (R.) ECHINOBOTHRIDA",NA,NA,NA,NA,NA
"158","DAVAINEA  =RAILLIETINA (R.) TETRAGONA",NA,NA,NA,NA,NA
"159","Dhori virus",NA,NA,NA,NA,NA
"160","Diaporthe",NA,NA,NA,NA,NA
"161","Diaporthe nitschkei",NA,NA,NA,NA,NA
"162","diatom ORGANIC-3",NA,NA,NA,NA,NA
"163","Diatrypella irregularis",NA,NA,NA,NA,NA
"164","Diplodinium ecaudatum",NA,NA,NA,NA,NA
"165","Discostroma",NA,NA,NA,NA,NA
"166","Discula",NA,NA,NA,NA,NA
"167","Dobrava-Belgrade hantavirus",NA,NA,NA,NA,NA
"168","Dobrava-Belgrade virus",NA,NA,NA,NA,NA
"169","Duck adenovirus A",NA,NA,NA,NA,NA
"170","Dugbe nairovirus",NA,NA,NA,NA,NA
"171","Dugbe virus",NA,NA,NA,NA,NA
"172","Eggplant mottled dwarf virus",NA,NA,NA,NA,NA
"173","Eimeria exigua",NA,NA,NA,NA,NA
"174","Eimeria irresidua",NA,NA,NA,NA,NA
"175","Eimeria media",NA,NA,NA,NA,NA
"176","Eimeria papillata",NA,NA,NA,NA,NA
"177","Eimeria vejdovskyi",NA,NA,NA,NA,NA
"178","Elecanium cerasorum",NA,NA,NA,NA,NA
"179","Enterovirus AN12",NA,NA,NA,NA,NA
"180","Eperythrozoan wincyoni",NA,NA,NA,NA,NA
"181","Erineum acerinum",NA,NA,NA,NA,NA
"182","Erineum alneum",NA,NA,NA,NA,NA
"183","Erineum pyrinum",NA,NA,NA,NA,NA
"184","Erineum vitis",NA,NA,NA,NA,NA
"185","Eucerini sp.",NA,NA,NA,NA,NA
"186","Eudiplodinium maggii",NA,NA,NA,NA,NA
"187","Fenestella",NA,NA,NA,NA,NA
"188","Fig fleck-associated virus",NA,NA,NA,NA,NA
"189","Flamingopox virus FGPVKD09",NA,NA,NA,NA,NA
"190","Flammulina",NA,NA,NA,NA,NA
"191","Fowl adenovirus A",NA,NA,NA,NA,NA
"192","Fowl adenovirus B",NA,NA,NA,NA,NA
"193","Fowl adenovirus C",NA,NA,NA,NA,NA
"194","Fowl adenovirus D",NA,NA,NA,NA,NA
"195","Fowl adenovirus E",NA,NA,NA,NA,NA
"196","Frankiella",NA,NA,NA,NA,NA
"197","Gallid herpesvirus 1",NA,NA,NA,NA,NA
"198","Gallid herpesvirus 2",NA,NA,NA,NA,NA
"199","Gallid herpesvirus 3",NA,NA,NA,NA,NA
"200","Gallivirus Pf-CHK1/GV",NA,NA,NA,NA,NA
"201","Goose paramyxovirus SF02",NA,NA,NA,NA,NA
"202","Grapevine associated tymo-like virus",NA,NA,NA,NA,NA
"203","Grapevine Cabernet Sauvignon reovirus",NA,NA,NA,NA,NA
"204","Grapevine fanleaf virus satellite RNA",NA,NA,NA,NA,NA
"205","Grapevine latent viroid",NA,NA,NA,NA,NA
"206","Grapevine leafroll-associated virus 10",NA,NA,NA,NA,NA
"207","Grapevine leafroll-associated virus 5",NA,NA,NA,NA,NA
"208","Grapevine leafroll-associated virus 6",NA,NA,NA,NA,NA
"209","Grapevine leafroll-associated virus 9",NA,NA,NA,NA,NA
"210","Grapevine leafroll-associated virus Carn",NA,NA,NA,NA,NA
"211","Grapevine Red Globe virus",NA,NA,NA,NA,NA
"212","Grapevine rootstock stem lesion associated virus",NA,NA,NA,NA,NA
"213","Grapevine rupestris vein feathering virus",NA,NA,NA,NA,NA
"214","Grapevine satellite virus",NA,NA,NA,NA,NA
"215","Grapevine virus K",NA,NA,NA,NA,NA
"216","Grapevine yellow",NA,NA,NA,NA,NA
"217","Graphium choredon",NA,NA,NA,NA,NA
"218","Graphium gracile",NA,NA,NA,NA,NA
"219","Graphium sarpedon",NA,NA,NA,NA,NA
"220","Guangxi orbivirus",NA,NA,NA,NA,NA
"221","Hantaan hantavirus",NA,NA,NA,NA,NA
"222","Hantaan virus",NA,NA,NA,NA,NA
"223","Hantavirus R165",NA,NA,NA,NA,NA
"224","Hantavirus R167",NA,NA,NA,NA,NA
"225","Hantavirus sp.",NA,NA,NA,NA,NA
"226","Hendersonia",NA,NA,NA,NA,NA
"227","Hendersonia cydoniae",NA,NA,NA,NA,NA
"228","Hendersonia cynosbati",NA,NA,NA,NA,NA
"229","Hendersonia peckii",NA,NA,NA,NA,NA
"230","Hendersonia theicola",NA,NA,NA,NA,NA
"231","Hendersonia triacanthi",NA,NA,NA,NA,NA
"232","Hepatitis E virus",NA,NA,NA,NA,NA
"233","Heterochaetella",NA,NA,NA,NA,NA
"234","Hirstonyssus staffordi",NA,NA,NA,NA,NA
"235","Hop stunt",NA,NA,NA,NA,NA
"236","Hymenolepis cantaniana",NA,NA,NA,NA,NA
"237","HYMENOLEPIS CANTANIANA",NA,NA,NA,NA,NA
"238","Hymenolepis cataniana",NA,NA,NA,NA,NA
"239","Hymenolepis lanceolata",NA,NA,NA,NA,NA
"240","Ife virus",NA,NA,NA,NA,NA
"241","Jeanerettea bovis",NA,NA,NA,NA,NA
"242","Kobuvirus cattle/Kagoshima-2-24-KoV/2015/JPN",NA,NA,NA,NA,NA
"243","Lactarius",NA,NA,NA,NA,NA
"244","Laestadia mali",NA,NA,NA,NA,NA
"245","Lake Sinai virus",NA,NA,NA,NA,NA
"246","Lake Sinai Virus NE",NA,NA,NA,NA,NA
"247","Lake Sinai Virus SA1",NA,NA,NA,NA,NA
"248","Lake Sinai Virus SA2",NA,NA,NA,NA,NA
"249","Lake Sinai Virus TO",NA,NA,NA,NA,NA
"250","Lapine parvovirus",NA,NA,NA,NA,NA
"251","Lassioglossum sp. 1",NA,NA,NA,NA,NA
"252","Lepista",NA,NA,NA,NA,NA
"253","Leporid herpesvirus 4",NA,NA,NA,NA,NA
"254","Leucocytozoon caulleryi",NA,NA,NA,NA,NA
"255","Leucocytozoon sabrazes",NA,NA,NA,NA,NA
"256","Leucocytozoon sabrazesi",NA,NA,NA,NA,NA
"257","Leucocytozoon schoutedeni",NA,NA,NA,NA,NA
"258","Ljungan virus",NA,NA,NA,NA,NA
"259","Lotmaria passim",NA,NA,NA,NA,NA
"260","Lychee viroid-like RNA",NA,NA,NA,NA,NA
"261","Lymphocytic choriomeningitis virus",NA,NA,NA,NA,NA
"262","Malignant rabbit fibroma virus",NA,NA,NA,NA,NA
"263","Mammalian 1 bornavirus",NA,NA,NA,NA,NA
"264","Melanomma",NA,NA,NA,NA,NA
"265","Melegrivirus A",NA,NA,NA,NA,NA
"266","Micrococcus endophyticus",NA,NA,NA,NA,NA
"267","Micrococcus luteus",NA,NA,NA,NA,NA
"268","Middle Point orbivirus",NA,NA,NA,NA,NA
"269","Moku virus",NA,NA,NA,NA,NA
"270","Molossus coibensis gammaherpesvirus A",NA,NA,NA,NA,NA
"271","Mosgovovia variabilis",NA,NA,NA,NA,NA
"272","Murid herpesvirus 1",NA,NA,NA,NA,NA
"273","Murid herpesvirus 2",NA,NA,NA,NA,NA
"274","Murid herpesvirus 4",NA,NA,NA,NA,NA
"275","Murine astrovirus",NA,NA,NA,NA,NA
"276","Murine herpesvirus",NA,NA,NA,NA,NA
"277","Mythimna unipuncta nucleopolyhedrovirus",NA,NA,NA,NA,NA
"278","N/A N/A",NA,NA,NA,NA,NA
"279","Nanobacterium sanguineum",NA,NA,NA,NA,NA
"280","Nebovirus Bo/M3641/2011/HUN",NA,NA,NA,NA,NA
"281","Nectria",NA,NA,NA,NA,NA
"282","Nectria subcoccinea",NA,NA,NA,NA,NA
"283","Nemesia var.",NA,NA,NA,NA,NA
"284","Newbury-1 virus",NA,NA,NA,NA,NA
"285","Newcastle disease virus",NA,NA,NA,NA,NA
"286","Ngaingan virus",NA,NA,NA,NA,NA
"287","Nidularia pulvinata",NA,NA,NA,NA,NA
"288","Nipah virus",NA,NA,NA,NA,NA
"289","Nosopsyllus Gerbillophilus",NA,NA,NA,NA,NA
"290","Oligoporus",NA,NA,NA,NA,NA
"291","Orbivirus Bluetongue virus",NA,NA,NA,NA,NA
"292","Orbivirus Epizootic hemorrhagic disease virus",NA,NA,NA,NA,NA
"293","Orthobunyavirus Bunyamwera orthobunyavirus",NA,NA,NA,NA,NA
"294","Orthobunyavirus California encephalitis orthobunyavirus",NA,NA,NA,NA,NA
"295","Ovine adenovirus A",NA,NA,NA,NA,NA
"296","Ovine herpesvirus 2",NA,NA,NA,NA,NA
"297","Parainfluenza virus 5",NA,NA,NA,NA,NA
"298","PARAMPHISTOMUM (E.) ANISOCOTYLE",NA,NA,NA,NA,NA
"299","PARAMPHISTOMUM CERVU =MICROBOTHRIOIDES",NA,NA,NA,NA,NA
"300","Parapoxvirus of red deer in",NA,NA,NA,NA,NA
"301","Parapoxvirus of red deer in New Zealand",NA,NA,NA,NA,NA
"302","Pear blister",NA,NA,NA,NA,NA
"303","Peste-des-petits-ruminants virus",NA,NA,NA,NA,NA
"304","Pestivirus Bovine viral diarrhea virus 1",NA,NA,NA,NA,NA
"305","Pestivirus Giraffe-1",NA,NA,NA,NA,NA
"306","Pestivirus sp.",NA,NA,NA,NA,NA
"307","PHAENICIA FALLESCENS",NA,NA,NA,NA,NA
"308","Pigeon-dominant Coronavirus",NA,NA,NA,NA,NA
"309","PLAGIORCHIS (P.) NOBLEI",NA,NA,NA,NA,NA
"310","Plasmodium gallinaceum",NA,NA,NA,NA,NA
"311","Plasmodium juxtanucleare",NA,NA,NA,NA,NA
"312","Plasmodium lutzi",NA,NA,NA,NA,NA
"313","Polyporus",NA,NA,NA,NA,NA
"314","Polyporus barbaeformis",NA,NA,NA,NA,NA
"315","Porcine circovirus",NA,NA,NA,NA,NA
"316","Porcine faeces associated circular DNA molecule-1",NA,NA,NA,NA,NA
"317","Preussia",NA,NA,NA,NA,NA
"318","Puumala hantavirus",NA,NA,NA,NA,NA
"319","Pycnoporus",NA,NA,NA,NA,NA
"320","Rabbit astrovirus TN/2208/2010",NA,NA,NA,NA,NA
"321","Rabbit calicivirus Australia 1 MIC-07",NA,NA,NA,NA,NA
"322","Rabbit coronavirus",NA,NA,NA,NA,NA
"323","Rabbit coronavirus HKU14",NA,NA,NA,NA,NA
"324","Rabbit oral papillomavirus",NA,NA,NA,NA,NA
"325","Rabbit picobirnavirus",NA,NA,NA,NA,NA
"326","Rabbit vesivirus",NA,NA,NA,NA,NA
"327","Rabies virus",NA,NA,NA,NA,NA
"328","RAILLIETINA (J.) ECHINOBOTHRIDA",NA,NA,NA,NA,NA
"329","RAILLIETINA (R.) ECHINOBOTHRIDA",NA,NA,NA,NA,NA
"330","RAILLIETINA (R.) ECHINOBOTHRIDIA",NA,NA,NA,NA,NA
"331","RAILLIETINA (R.) TETRAGONA",NA,NA,NA,NA,NA
"332","RAILLIETINA (R.) WILLIAMSI",NA,NA,NA,NA,NA
"333","Raspberry latent virus",NA,NA,NA,NA,NA
"334","Respiratory syncytial virus",NA,NA,NA,NA,NA
"335","Rhyncoprion spinosum",NA,NA,NA,NA,NA
"336","Rickesttsia ruminantium",NA,NA,NA,NA,NA
"337","Rift Valley fever virus",NA,NA,NA,NA,NA
"338","Rinderpest virus",NA,NA,NA,NA,NA
"339","Robinia pseudoacacia",NA,NA,NA,NA,NA
"340","Rodent Paramyxovirus Apo_fla/RMU10-1842/GER/2010",NA,NA,NA,NA,NA
"341","Rodent Paramyxovirus Apo_fla/RMU10-3244/GER/2010",NA,NA,NA,NA,NA
"342","Rodent Paramyxovirus Apo_fla/RMU10-3476/GER/2010",NA,NA,NA,NA,NA
"343","Rodent Paramyxovirus Apo_fla/RMU10-751/GER/2010",NA,NA,NA,NA,NA
"344","Ruminant rhadinovirus 2",NA,NA,NA,NA,NA
"345","Rustrela virus",NA,NA,NA,NA,NA
"346","Saaremaa hantavirus",NA,NA,NA,NA,NA
"347","Salix alba",NA,NA,NA,NA,NA
"348","SARCOPTES NOTOEDRES CATI",NA,NA,NA,NA,NA
"349","Sathuperi orthobunyavirus",NA,NA,NA,NA,NA
"350","Setaria marshalli",NA,NA,NA,NA,NA
"351","SFTS phlebovirus",NA,NA,NA,NA,NA
"352","Shamonda orthobunyavirus",NA,NA,NA,NA,NA
"353","Shamonda virus",NA,NA,NA,NA,NA
"354","Shayang fly virus 4",NA,NA,NA,NA,NA
"355","Shuni virus",NA,NA,NA,NA,NA
"356","Simbu virus",NA,NA,NA,NA,NA
"357","Solieria pacifica",NA,NA,NA,NA,NA
"358","Sphaeropsis biformis",NA,NA,NA,NA,NA
"359","Sphaeropsis sepulta",NA,NA,NA,NA,NA
"360","Sphaeropsis triacanthi",NA,NA,NA,NA,NA
"361","Sphaerotheca",NA,NA,NA,NA,NA
"362","Spiirochaeta theileri",NA,NA,NA,NA,NA
"363","STRONGYLUS =OSTERTAGIA OSTERTAGI",NA,NA,NA,NA,NA
"364","Suid herpesvirus 1",NA,NA,NA,NA,NA
"365","Tea plant line pattern virus",NA,NA,NA,NA,NA
"366","THELAZIA (T.) GLUOSA",NA,NA,NA,NA,NA
"367","THELAZIA (T.) GULOSA",NA,NA,NA,NA,NA
"368","Thiafora nairovirus",NA,NA,NA,NA,NA
"369","Thunbergia  alata",NA,NA,NA,NA,NA
"370","Tomato big bud phytoplasma (Tanzania)",NA,NA,NA,NA,NA
"371","Tomato black ring virus satellite RNA",NA,NA,NA,NA,NA
"372","Tomato leaf curl China virus - OX2",NA,NA,NA,NA,NA
"373","Torque teno virus",NA,NA,NA,NA,NA
"374","Trichomonas foetus",NA,NA,NA,NA,NA
"375","TRICHOSOMA  =CAPILLARIA RETUSUM",NA,NA,NA,NA,NA
"376","TRICHOSOMA  =CAPILLLARIA PAPILLOSA",NA,NA,NA,NA,NA
"377","TRICHOSOMA =CAPILLARIA QUADRIRADIATUS",NA,NA,NA,NA,NA
"378","Trifolium acris",NA,NA,NA,NA,NA
"379","Trubanaman virus",NA,NA,NA,NA,NA
"380","Tubercularia aceris",NA,NA,NA,NA,NA
"381","Tubercularia ailanthi",NA,NA,NA,NA,NA
"382","Tubercularia endogena",NA,NA,NA,NA,NA
"383","Tubercularia fici",NA,NA,NA,NA,NA
"384","Tubercularia pruni",NA,NA,NA,NA,NA
"385","Tubercularia pusilla",NA,NA,NA,NA,NA
"386","Type 2 ruminant rhadinovirus",NA,NA,NA,NA,NA
"387","undetermined Cottoidei Lake Baikal",NA,NA,NA,NA,NA
"388","unidentified",NA,NA,NA,NA,NA
"389","unknown unknown",NA,NA,NA,NA,NA
"390","Upolu virus",NA,NA,NA,NA,NA
"391","Uredo vepris",NA,NA,NA,NA,NA
"392","Uukuniemi phlebovirus",NA,NA,NA,NA,NA
"393","Varroa destructor virus",NA,NA,NA,NA,NA
"394","Varroa destructor virus 2",NA,NA,NA,NA,NA
"395","Varroa destructor virus 3",NA,NA,NA,NA,NA
"396","Varroa mite associated genomovirus 1",NA,NA,NA,NA,NA
"397","Varroa mite associated virus 1",NA,NA,NA,NA,NA
"398","Varroa Tymo-like virus",NA,NA,NA,NA,NA
"399","Vermicularia carpogena",NA,NA,NA,NA,NA
"400","Vermicularia effusa",NA,NA,NA,NA,NA
"401","Vermicularia petiolorum",NA,NA,NA,NA,NA
"402","Vesicular stomatitis Indiana virus",NA,NA,NA,NA,NA
"403","Vesicular stomatitis New Jersey virus",NA,NA,NA,NA,NA
"404","Vesicular stomatitis virus",NA,NA,NA,NA,NA
"405","Viguiera dicrurusi",NA,NA,NA,NA,NA
"406","Virus",NA,NA,NA,NA,NA
"407","Vitis labrusca x Vitis vinifera",NA,NA,NA,NA,NA
