"sourceSpeciesName","interactionType","targetSpeciesName"
"Vespa velutina","preysOn","Eristalis tenax"
"Vespa velutina","eats","Emberiza cirlus"
"Vespa velutina","eats","Polistes dominula"
"Vespa velutina","eats","Pyrus communis"
"Vespa velutina","eats","Phaonia valida"
"Vespa velutina","eats","Aphrophora salicina"
"Vespa velutina","eats","Hedera helix"
"Vespa velutina","eats","Apodemus flavicollis"
"Vespa velutina","eats","Noctua fimbriata"
"Vespa velutina","eats","Stomorhina lunata"
"Vespa velutina","eats","Ferdinandea cuprea"
"Vespa velutina","eats","Graphomya maculata"
"Vespa velutina","eats","Tipula paludosa"
"Vespa velutina","eats","Phasia aurigera"
"Vespa velutina","eats","Volinus sticticus"
"Vespa velutina","visitsFlowersOf","Rubus fruticosus"
"Vespa velutina","visitsFlowersOf","Pittosporum tobira"
"Vespa velutina","visitsFlowersOf","Oxalis corniculata"
"Vespa velutina","visitsFlowersOf","Caryopteris incana"
"Vespa velutina","visitsFlowersOf","Angelica sylvestris"
"Vespa velutina","visitsFlowersOf","Oenothera lindheimeri"
"Vespa velutina","visitsFlowersOf","Oenothera glazioviana"
"Vespa velutina","visitsFlowersOf","Euphorbia characias"
"Vespa velutina","visitsFlowersOf","Elaeagnus multiflora"
"Vespa velutina","visitsFlowersOf","Fatsia japonica"
"Vespa velutina","visitsFlowersOf","Aralia elata"
"Vespa velutina","visitsFlowersOf","Mentha suaveolens"
"Vespa velutina","visitsFlowersOf","Lantana camara"
"Vespa velutina","visitsFlowersOf","Fagopyrum esculentum"
"Vespa velutina","visitsFlowersOf","Allium fistulosum"
"Vespa velutina","visitsFlowersOf","Musa basjoo"
"Vespa velutina","visitsFlowersOf","Thalia dealbata"
"Vespa velutina","visitsFlowersOf","Ampelopsis heterophylla"
"Vespa velutina","visits","Angelica sylvestris"
"Vespa velutina","visits","Heracleum sphondylium"
"Vespa velutina","preysOn","Helophilus trivittatus"
"Vespa velutina","preysOn","Xanthogramma pedissequum"
"Vespa velutina","preysOn","Criorhina berberina"
"Vespa velutina","preysOn","Chrysomya albiceps"
"Vespa velutina","preysOn","Lucilia caesar"
"Vespa velutina","preysOn","Lucilia sericata"
"Vespa velutina","preysOn","Sarcophaga carnaria"
"Vespa velutina","preysOn","Syritta pipiens"
"Vespa velutina","preysOn","Volucella bombylans"
"Vespa velutina","preysOn","Xylota segnis"
"Vespa velutina","preysOn","Eupeodes luniger"
"Vespa velutina","preysOn","Xanthandrus comtus"
"Vespa velutina","preysOn","Temnostoma vespiforme"
"Vespa velutina","preysOn","Chrysotoxum cautum"
"Vespa velutina","preysOn","Caliprobola speciosa"
"Vespa velutina","preysOn","Musca domestica"
"Vespa velutina","preysOn","Calliphora vicina"
"Vespa velutina","eats","Theronia atalantae"
"Vespa velutina","eats","Cylindromyia bicolor"
"Vespa velutina","eats","Apatura ilia"
"Vespa velutina","eats","Pararge aegeria"
"Vespa velutina","eats","Prunus domestica"
"Vespa velutina","eats","Panorpa cognata"
"Vespa velutina","eats","Cabera exanthemata"
"Vespa velutina","eats","Polyommatus icarus"
"Vespa velutina","eats","Phaonia pallida"
"Vespa velutina","eats","Phaonia tuguriorum"
"Vespa velutina","eats","Gymnosoma nudifrons"
"Vespa velutina","eats","Dicranopalpus ramosus"
"Vespa velutina","eats","Xiphydria longicollis"
"Vespa velutina","eats","Fatsia japonica"
"Vespa velutina","eats","Crataegus germanica"
"Vespa velutina","eats","Prunus avium"
"Vespa velutina","eats","Musa basjoo"
"Vespa velutina","eats","Cervus elaphus"
"Vespa velutina","eats","Oryctolagus cuniculus"
"Vespa velutina","eats","Agalenatea redii"
"Vespa velutina","eats","Larinioides sclopetarius"
"Vespa velutina","eats","Metellina mengei"
"Vespa velutina","eats","Metellina segmentata"
"Vespa velutina","eats","Pseudomallada prasinus"
"Vespa velutina","eats","Himacerus apterus"
"Vespa velutina","eats","Coenonympha pamphilus"
"Vespa velutina","eats","Vanessa atalanta"
"Vespa velutina","eats","Nomophila noctuella"
"Vespa velutina","eats","Orgyia antiqua"
"Vespa velutina","eats","Autographa gamma"
"Vespa velutina","eats","Noctua pronuba"
"Vespa velutina","eats","Agrotis exclamationis"
"Vespa velutina","eats","Lacanobia oleracea"
"Vespa velutina","eats","Pholidoptera griseoaptera"
"Vespa velutina","eats","Meconema meridionale"
"Vespa velutina","eats","Volucella zonaria"
"Vespa velutina","eats","Volucella inanis"
"Vespa velutina","eats","Xanthandrus comtus"
"Vespa velutina","eats","Scaeva selenitica"
"Vespa velutina","eats","Meliscaeva auricollis"
"Vespa velutina","eats","Neomyia cornicina"
"Vespa velutina","eats","Stomoxys calcitrans"
"Vespa velutina","eats","Musca domestica"
"Vespa velutina","eats","Onesia viarum"
"Vespa velutina","eats","Cynomya mortuorum"
"Vespa velutina","eats","Linnaemya vulpina"
"Vespa velutina","eats","Chaetopteryx villosa"
"Vespa velutina","eats","Bombus lapidarius"
"Vespa velutina","eats","Vespa velutina"
"Pernis apivorus","preysOn","Vespa velutina"
"Gallus gallus","preysOn","Vespa velutina"
"Beauveria bassiana","hasHost","Vespa velutina"
"Varroa destructor","hasHost","Vespa velutina"
