"source_taxon_name";"interaction_type";"target_taxon_name"
"Vespa velutina";"eats";"Phaonia trimaculata"
"Vespa velutina";"eats";"Mydaea humeralis"
"Vespa velutina";"eats";"Vanessa atalanta"
"Vespa velutina";"eats";"Larinioides sclopetarius"
"Vespa velutina";"eats";"Macquartia tenebricosa"
"Vespa velutina";"eats";"Dryomyza anilis"
"Vespa velutina";"eats";"Sarcophaga lehmanni"
"Vespa velutina";"eats";"Scathophaga stercoraria"
"Vespa velutina";"eats";"Calliopum aeneum"
"Vespa velutina";"eats";"Cheilosia tarditas"
"Vespa velutina";"eats";"Arge"
"Vespa velutina";"eats";"Apodemus flavicollis"
"Vespa velutina";"eats";"Forficula"
"Vespa velutina";"eats";"Lycosidae"
"Vespa velutina";"eats";"Meconema meridionale"
"Vespa velutina";"eats";"Lucilia caesar"
"Vespa velutina";"eats";"Noctua pronuba"
"Vespa velutina";"eats";"Dictyoptera"
"Vespa velutina";"eats";"Lasioglossum marginatum"
"Vespa velutina";"eats";"Lucilia ampullacea"
"Vespa velutina";"eats";"Noctua fimbriata"
"Vespa velutina";"eats";"Cabera exanthemata"
"Vespa velutina";"eats";"Lucilia sericata"
"Vespa velutina";"eats";"Stomorhina lunata"
"Vespa velutina";"eats";"Insecta"
"Vespa velutina";"eats";"Coenonympha pamphilus"
"Vespa velutina";"eats";"Aphrophora salicina"
"Vespa velutina";"eats";"Onesia viarum"
"Vespa velutina";"eats";"Phaonia rufiventris"
"Vespa velutina";"eats";"Bellardia"
"Vespa velutina";"eats";"Sarcophaga aratrix"
"Vespa velutina";"eats";"Bellardia bayeri"
"Vespa velutina";"eats";"Sarcophaga agnata"
"Vespa velutina";"eats";"Ectobius"
"Vespa velutina";"eats";"Linnaemya vulpina"
"Vespa velutina";"eats";"Autographa gamma"
"Vespa velutina";"eats";"Mesembrina meridiana"
"Vespa velutina";"eats";"Cercopidae"
"Vespa velutina";"eats";"Phryganeidae"
"Vespa velutina";"eats";"Cervus elaphus"
"Vespa velutina";"eats";"Scathophaga furcata"
"Vespa velutina";"eats";"Melanostoma mellinum"
"Vespa velutina";"eats";"Phasia aurigera"
"Vespa velutina";"eats";"Chaetopteryx villosa"
"Vespa velutina";"eats";"Sargus bipunctatus"
"Vespa velutina";"eats";"Gymnosoma nudifrons"
"Vespa velutina";"eats";"Scaeva selenitica"
"Vespa velutina";"eats";"Stomoxys calcitrans"
"Vespa velutina";"eats";"Peleteria javana"
"Vespa velutina";"eats";"Panorpa"
"Vespa velutina";"eats";"Tipula pagana"
"Vespa velutina";"eats";"Bos taurus"
"Vespa velutina";"eats";"Dryope flaveola"
"Vespa velutina";"eats";"Phaonia pallida"
"Vespa velutina";"eats";"Agrotis exclamationis"
"Vespa velutina";"eats";"Xanthandrus comtus"
"Vespa velutina";"eats";"Metellina mengei"
"Vespa velutina";"eats";"Orthonevra splendens"
"Vespa velutina";"eats";"Emmesomyia grisea"
"Vespa velutina";"eats";"Pseudomallada prasinus"
"Vespa velutina";"eats";"Eudasyphora cyanicolor"
"Vespa velutina";"eats";"Nyctia halterata"
"Vespa velutina";"eats";"Neomyia cornicina"
"Vespa velutina";"eats";"Orgyia antiqua"
"Vespa velutina";"eats";"Agalenatea redii"
"Vespa velutina";"eats";"Pholidoptera griseoaptera"
"Vespa velutina";"eats";"Curculio elephas"
"Vespa velutina";"eats";"Helina impuncta"
"Vespa velutina";"eats";"Pollenia amentaria"
"Vespa velutina";"eats";"Meliscaeva auricollis"
"Vespa velutina";"eats";"Cicadellidae"
"Vespa velutina";"eats";"Phaonia tuguriorum"
"Vespa velutina";"eats";"Sarcophaga pyrenaica"
"Vespa velutina";"eats";"Ctenophora"
"Vespa velutina";"eats";"Dermaptera"
"Vespa velutina";"eats";"Tipula paludosa"
"Vespa velutina";"eats";"Blondelia nigripes"
"Vespa velutina";"eats";"Eristalis pratorum"
"Vespa velutina";"eats";"Hydrotaea dentipes"
"Vespa velutina";"eats";"Volinus sticticus"
"Vespa velutina";"eats";"Phaonia subventa"
"Vespa velutina";"eats";"Theronia atalantae"
"Vespa velutina";"eats";"Syspasis tauma"
"Vespa velutina";"eats";"Cylindromyia bicolor"
"Vespa velutina";"eats";"Panorpa cognata"
"Vespa velutina";"eats";"Dicranopalpus ramosus"
"Vespa velutina";"eats";"Sarcophaga africa"
"Vespa velutina";"eats";"Tachinus proximus"
"Vespa velutina";"eats";"Xanthogramma festiva"
"Vespa velutina";"eats";"Rhyssella obliterata"
"Vespa velutina";"eats";"Cynomya mortuorum"
"Vespa velutina";"eats";"Apatura ilia"
"Vespa velutina";"eats";"Pollenia pediculata"
"Vespa velutina";"eats";"Musca domestica"
"Vespa velutina";"eats";"Braconidae"
"Vespa velutina";"eats";"Nomophila noctuella"
"Vespa velutina";"eats";"Lacanobia oleracea"
"Vespa velutina";"eats";"Pollenia angustigena"
"Vespa velutina";"eats";"Crabronidae"
"Vespa velutina";"eats";"Himacerus apterus"
"Vespa velutina";"eats";"Chrysomya megacephala"
"Vespa velutina";"eats";"Chrysopidae"
"Vespa velutina";"eats";"Peribaea tibialis"
"Vespa velutina";"eats";"Metellina segmentata"
"Vespa velutina";"eats";"Volucella inanis"
"Vespa velutina";"eats";"Volucella zonaria"
"Vespa velutina";"eats";"Xiphydriidae"
"Vespa velutina";"eats";"Xiphydria longicollis"
"Vespa velutina";"preysOn";"Apis cerana"
"Vespa velutina";"preysOn";"Apis mellifera"
"Vespa velutina";"preysOn";"Formicidae"
"Vespa velutina";"preysOn";"Anisoptera"
"Vespa velutina";"preysOn";"Apis"
"Vespa velutina";"preysOn";"Trichoptera"
"Vespa velutina";"preysOn";"Sarcophaga sexpunctata"
"Vespa velutina";"preysOn";"Temnostoma vespiforme"
"Vespa velutina";"preysOn";"Protophormia terraenovae"
"Vespa velutina";"preysOn";"Eupeodes latifasciatus"
"Vespa velutina";"preysOn";"Muscina stabulans"
"Vespa velutina";"preysOn";"Xanthogramma festiva"
"Vespa velutina";"preysOn";"Sarcophaga corsicana"
"Vespa velutina";"preysOn";"Episyrphus balteatus"
"Vespa velutina";"preysOn";"Pipizella viduata"
"Vespa velutina";"preysOn";"Meliscaeva auricollis"
"Vespa velutina";"preysOn";"Sarcophaga portschinskyi"
"Vespa velutina";"preysOn";"Sarcophaga africa"
"Vespa velutina";"preysOn";"Cheilosia latifrons"
"Vespa velutina";"preysOn";"Scaeva pyrastri"
"Vespa velutina";"preysOn";"Sphaerophoria rueppelli"
"Vespa velutina";"preysOn";"Syrphus vitripennis"
"Vespa velutina";"preysOn";"Epistrophe nitidicollis"
"Vespa velutina";"preysOn";"Paragus pecchiolii"
"Vespa velutina";"preysOn";"Ferdinandea cuprea"
"Vespa velutina";"preysOn";"Sarcophaga pyrenaica"
"Vespa velutina";"preysOn";"Chrysotoxum vernale"
"Vespa velutina";"preysOn";"Mallota florea"
"Vespa velutina";"preysOn";"Volucella bombylans"
"Vespa velutina";"preysOn";"Musca domestica"
"Vespa velutina";"preysOn";"Syritta pipiens"
"Vespa velutina";"preysOn";"Ophyra capensis"
"Vespa velutina";"preysOn";"Hydrotaea aenescens"
"Vespa velutina";"preysOn";"Chrysotoxum octomaculatum"
"Vespa velutina";"preysOn";"Chrysotoxum cautum"
"Vespa velutina";"preysOn";"Eristalis tenax"
"Vespa velutina";"preysOn";"Paragus haemorrhous"
"Vespa velutina";"preysOn";"Melanostoma mellinum"
"Vespa velutina";"preysOn";"Eupeodes corollae"
"Vespa velutina";"preysOn";"Sphaerophoria scripta"
"Vespa velutina";"preysOn";"Chrysotoxum bicinctum"
"Vespa velutina";"preysOn";"Lucilia illustris"
"Vespa velutina";"preysOn";"Criorhina berberina"
"Vespa velutina";"preysOn";"Lucilia caesar"
"Vespa velutina";"preysOn";"Syrphus ribesii"
"Vespa velutina";"preysOn";"Sarcophaga jeanleclercqi"
"Vespa velutina";"preysOn";"Eupeodes luniger"
"Vespa velutina";"preysOn";"Sarcophaga teretirostris"
"Vespa velutina";"preysOn";"Epistrophe eligans"
"Vespa velutina";"preysOn";"Lucilia sericata"
"Vespa velutina";"preysOn";"Sarcophaga marshalli"
"Vespa velutina";"preysOn";"Calliphora vomitoria"
"Vespa velutina";"preysOn";"Caliprobola speciosa"
"Vespa velutina";"preysOn";"Lucilia ampullacea"
"Vespa velutina";"preysOn";"Xylota lenta"
"Vespa velutina";"preysOn";"Muscina prolapsa"
"Vespa velutina";"preysOn";"Chrysotoxum verralli"
"Vespa velutina";"preysOn";"Helophilus trivittatus"
"Vespa velutina";"preysOn";"Calliphora vicina"
"Vespa velutina";"preysOn";"Sarcophaga cucullans"
"Vespa velutina";"preysOn";"Eristalis arbustorum"
"Vespa velutina";"preysOn";"Rhingia (Rhingia) campestris"
"Vespa velutina";"preysOn";"Miltogramma brevipila"
"Vespa velutina";"preysOn";"Sarcophaga carnaria"
"Vespa velutina";"preysOn";"Melanostoma scalare"
"Vespa velutina";"preysOn";"Chrysomya albiceps"
"Vespa velutina";"preysOn";"Chalcosyrphus nemorum"
"Vespa velutina";"preysOn";"Sarcophaga balanina"
"Vespa velutina";"preysOn";"Phormia regina"
"Vespa velutina";"preysOn";"Xanthandrus comtus"
"Vespa velutina";"preysOn";"Xanthogramma pedissequum"
"Vespa velutina";"preysOn";"Xylota segnis"
"Vespa velutina";"preysOn";"Halictidae"
"Vespa velutina";"preysOn";"Polistes"
"Vespa velutina";"preysOn";"Muscidae"
"Vespa velutina";"preysOn";"Tachinidae"
"Vespa velutina";"preysOn";"Lycaenidae"
"Vespa velutina";"preysOn";"Vespula"
"Vespa velutina";"preysOn";"Pieridae"
"Vespa velutina";"preysOn";"Colletidae"
"Vespa velutina";"preysOn";"Syrphidae"
"Vespa velutina";"preysOn";"Bombus"
"Vespa velutina";"preysOn";"Megachilidae"
"Vespa velutina";"preysOn";"Ephydridae"
"Vespa velutina";"preysOn";"Nymphalidae"
"Vespa velutina";"preysOn";"Sphingidae"
"Vespa velutina";"preysOn";"Halictinae"
"Vespa velutina";"preysOn";"Calliphoridae"
"Vespa velutina";"preysOn";"Brachycera"
"Vespa velutina";"preysOn";"Apoidea"
"Vespa velutina";"preyedUponBy";"Pernis apivorus"
"Vespa velutina";"preyedUponBy";"Gallus gallus"
"Vespa velutina nigrithorax";"preyedUponBy";"Martes flavigula"
"Vespa velutina";"eatenBy";"Vespa velutina"
"Vespa velutina";"hasEndoparasite";"Conops vesicularis"
"Vespa velutina";"preysOn";"Apis cerana"
"Vespa velutina";"preysOn";"Apis mellifera"
"Vespa velutina";"preysOn";"Formicidae"
"Vespa velutina";"preysOn";"Anisoptera"
"Vespa velutina";"preysOn";"Apis"
"Vespa velutina";"preysOn";"Trichoptera"
"Vespa velutina";"preysOn";"Sarcophaga sexpunctata"
"Vespa velutina";"preysOn";"Temnostoma vespiforme"
"Vespa velutina";"preysOn";"Protophormia terraenovae"
"Vespa velutina";"preysOn";"Eupeodes latifasciatus"
"Vespa velutina";"preysOn";"Muscina stabulans"
"Vespa velutina";"preysOn";"Xanthogramma festiva"
"Vespa velutina";"preysOn";"Sarcophaga corsicana"
"Vespa velutina";"preysOn";"Episyrphus balteatus"
"Vespa velutina";"preysOn";"Pipizella viduata"
"Vespa velutina";"preysOn";"Meliscaeva auricollis"
"Vespa velutina";"preysOn";"Sarcophaga portschinskyi"
"Vespa velutina";"preysOn";"Sarcophaga africa"
"Vespa velutina";"preysOn";"Cheilosia latifrons"
"Vespa velutina";"preysOn";"Scaeva pyrastri"
"Vespa velutina";"preysOn";"Sphaerophoria rueppelli"
"Vespa velutina";"preysOn";"Syrphus vitripennis"
"Vespa velutina";"preysOn";"Epistrophe nitidicollis"
"Vespa velutina";"preysOn";"Paragus pecchiolii"
"Vespa velutina";"preysOn";"Ferdinandea cuprea"
"Vespa velutina";"preysOn";"Sarcophaga pyrenaica"
"Vespa velutina";"preysOn";"Chrysotoxum vernale"
"Vespa velutina";"preysOn";"Mallota florea"
"Vespa velutina";"preysOn";"Volucella bombylans"
"Vespa velutina";"preysOn";"Musca domestica"
"Vespa velutina";"preysOn";"Syritta pipiens"
"Vespa velutina";"preysOn";"Ophyra capensis"
"Vespa velutina";"preysOn";"Hydrotaea aenescens"
"Vespa velutina";"preysOn";"Chrysotoxum octomaculatum"
"Vespa velutina";"preysOn";"Chrysotoxum cautum"
"Vespa velutina";"preysOn";"Eristalis tenax"
"Vespa velutina";"preysOn";"Paragus haemorrhous"
"Vespa velutina";"preysOn";"Melanostoma mellinum"
"Vespa velutina";"preysOn";"Eupeodes corollae"
"Vespa velutina";"preysOn";"Sphaerophoria scripta"
"Vespa velutina";"preysOn";"Chrysotoxum bicinctum"
"Vespa velutina";"preysOn";"Lucilia illustris"
"Vespa velutina";"preysOn";"Criorhina berberina"
"Vespa velutina";"preysOn";"Lucilia caesar"
"Vespa velutina";"preysOn";"Syrphus ribesii"
"Vespa velutina";"preysOn";"Sarcophaga jeanleclercqi"
"Vespa velutina";"preysOn";"Eupeodes luniger"
"Vespa velutina";"preysOn";"Sarcophaga teretirostris"
"Vespa velutina";"preysOn";"Epistrophe eligans"
"Vespa velutina";"preysOn";"Lucilia sericata"
"Vespa velutina";"preysOn";"Sarcophaga marshalli"
"Vespa velutina";"preysOn";"Calliphora vomitoria"
"Vespa velutina";"preysOn";"Caliprobola speciosa"
"Vespa velutina";"preysOn";"Lucilia ampullacea"
"Vespa velutina";"preysOn";"Xylota lenta"
"Vespa velutina";"preysOn";"Muscina prolapsa"
"Vespa velutina";"preysOn";"Chrysotoxum verralli"
"Vespa velutina";"preysOn";"Helophilus trivittatus"
"Vespa velutina";"preysOn";"Calliphora vicina"
"Vespa velutina";"preysOn";"Sarcophaga cucullans"
"Vespa velutina";"preysOn";"Eristalis arbustorum"
"Vespa velutina";"preysOn";"Rhingia (Rhingia) campestris"
"Vespa velutina";"preysOn";"Miltogramma brevipila"
"Vespa velutina";"preysOn";"Sarcophaga carnaria"
"Vespa velutina";"preysOn";"Melanostoma scalare"
"Vespa velutina";"preysOn";"Chrysomya albiceps"
"Vespa velutina";"preysOn";"Chalcosyrphus nemorum"
"Vespa velutina";"preysOn";"Sarcophaga balanina"
"Vespa velutina";"preysOn";"Phormia regina"
"Vespa velutina";"preysOn";"Xanthandrus comtus"
"Vespa velutina";"preysOn";"Xanthogramma pedissequum"
"Vespa velutina";"preysOn";"Xylota segnis"
"Vespa velutina";"preysOn";"Halictidae"
"Vespa velutina";"preysOn";"Polistes"
"Vespa velutina";"preysOn";"Muscidae"
"Vespa velutina";"preysOn";"Tachinidae"
"Vespa velutina";"preysOn";"Lycaenidae"
"Vespa velutina";"preysOn";"Vespula"
"Vespa velutina";"preysOn";"Pieridae"
"Vespa velutina";"preysOn";"Colletidae"
"Vespa velutina";"preysOn";"Syrphidae"
"Vespa velutina";"preysOn";"Bombus"
"Vespa velutina";"preysOn";"Megachilidae"
"Vespa velutina";"preysOn";"Ephydridae"
"Vespa velutina";"preysOn";"Nymphalidae"
"Vespa velutina";"preysOn";"Sphingidae"
"Vespa velutina";"preysOn";"Halictinae"
"Vespa velutina";"preysOn";"Calliphoridae"
"Vespa velutina";"preysOn";"Brachycera"
"Vespa velutina";"preysOn";"Apoidea"
"Vespa velutina";"preyedUponBy";"Pernis apivorus"
"Vespa velutina";"preyedUponBy";"Gallus gallus"
"Vespa velutina nigrithorax";"preyedUponBy";"Martes flavigula"
"Vespa velutina";"preysOn";"Apis cerana"
"Vespa velutina";"preysOn";"Apis mellifera"
"Vespa velutina";"preysOn";"Formicidae"
"Vespa velutina";"preysOn";"Anisoptera"
"Vespa velutina";"preysOn";"Apis"
"Vespa velutina";"preysOn";"Trichoptera"
"Vespa velutina";"preysOn";"Sarcophaga sexpunctata"
"Vespa velutina";"preysOn";"Temnostoma vespiforme"
"Vespa velutina";"preysOn";"Protophormia terraenovae"
"Vespa velutina";"preysOn";"Eupeodes latifasciatus"
"Vespa velutina";"preysOn";"Muscina stabulans"
"Vespa velutina";"preysOn";"Xanthogramma festiva"
"Vespa velutina";"preysOn";"Sarcophaga corsicana"
"Vespa velutina";"preysOn";"Episyrphus balteatus"
"Vespa velutina";"preysOn";"Pipizella viduata"
"Vespa velutina";"preysOn";"Meliscaeva auricollis"
"Vespa velutina";"preysOn";"Sarcophaga portschinskyi"
"Vespa velutina";"preysOn";"Sarcophaga africa"
"Vespa velutina";"preysOn";"Cheilosia latifrons"
"Vespa velutina";"preysOn";"Scaeva pyrastri"
"Vespa velutina";"preysOn";"Sphaerophoria rueppelli"
"Vespa velutina";"preysOn";"Syrphus vitripennis"
"Vespa velutina";"preysOn";"Epistrophe nitidicollis"
"Vespa velutina";"preysOn";"Paragus pecchiolii"
"Vespa velutina";"preysOn";"Ferdinandea cuprea"
"Vespa velutina";"preysOn";"Sarcophaga pyrenaica"
"Vespa velutina";"preysOn";"Chrysotoxum vernale"
"Vespa velutina";"preysOn";"Mallota florea"
"Vespa velutina";"preysOn";"Volucella bombylans"
"Vespa velutina";"preysOn";"Musca domestica"
"Vespa velutina";"preysOn";"Syritta pipiens"
"Vespa velutina";"preysOn";"Ophyra capensis"
"Vespa velutina";"preysOn";"Hydrotaea aenescens"
"Vespa velutina";"preysOn";"Chrysotoxum octomaculatum"
"Vespa velutina";"preysOn";"Chrysotoxum cautum"
"Vespa velutina";"preysOn";"Eristalis tenax"
"Vespa velutina";"preysOn";"Paragus haemorrhous"
"Vespa velutina";"preysOn";"Melanostoma mellinum"
"Vespa velutina";"preysOn";"Eupeodes corollae"
"Vespa velutina";"preysOn";"Sphaerophoria scripta"
"Vespa velutina";"preysOn";"Chrysotoxum bicinctum"
"Vespa velutina";"preysOn";"Lucilia illustris"
"Vespa velutina";"preysOn";"Criorhina berberina"
"Vespa velutina";"preysOn";"Lucilia caesar"
"Vespa velutina";"preysOn";"Syrphus ribesii"
"Vespa velutina";"preysOn";"Sarcophaga jeanleclercqi"
"Vespa velutina";"preysOn";"Eupeodes luniger"
"Vespa velutina";"preysOn";"Sarcophaga teretirostris"
"Vespa velutina";"preysOn";"Epistrophe eligans"
"Vespa velutina";"preysOn";"Lucilia sericata"
"Vespa velutina";"preysOn";"Sarcophaga marshalli"
"Vespa velutina";"preysOn";"Calliphora vomitoria"
"Vespa velutina";"preysOn";"Caliprobola speciosa"
"Vespa velutina";"preysOn";"Lucilia ampullacea"
"Vespa velutina";"preysOn";"Xylota lenta"
"Vespa velutina";"preysOn";"Muscina prolapsa"
"Vespa velutina";"preysOn";"Chrysotoxum verralli"
"Vespa velutina";"preysOn";"Helophilus trivittatus"
"Vespa velutina";"preysOn";"Calliphora vicina"
"Vespa velutina";"preysOn";"Sarcophaga cucullans"
"Vespa velutina";"preysOn";"Eristalis arbustorum"
"Vespa velutina";"preysOn";"Rhingia (Rhingia) campestris"
"Vespa velutina";"preysOn";"Miltogramma brevipila"
"Vespa velutina";"preysOn";"Sarcophaga carnaria"
"Vespa velutina";"preysOn";"Melanostoma scalare"
"Vespa velutina";"preysOn";"Chrysomya albiceps"
"Vespa velutina";"preysOn";"Chalcosyrphus nemorum"
"Vespa velutina";"preysOn";"Sarcophaga balanina"
"Vespa velutina";"preysOn";"Phormia regina"
"Vespa velutina";"preysOn";"Xanthandrus comtus"
"Vespa velutina";"preysOn";"Xanthogramma pedissequum"
"Vespa velutina";"preysOn";"Xylota segnis"
"Vespa velutina";"preysOn";"Halictidae"
"Vespa velutina";"preysOn";"Polistes"
"Vespa velutina";"preysOn";"Muscidae"
"Vespa velutina";"preysOn";"Tachinidae"
"Vespa velutina";"preysOn";"Lycaenidae"
"Vespa velutina";"preysOn";"Vespula"
"Vespa velutina";"preysOn";"Pieridae"
"Vespa velutina";"preysOn";"Colletidae"
"Vespa velutina";"preysOn";"Syrphidae"
"Vespa velutina";"preysOn";"Bombus"
"Vespa velutina";"preysOn";"Megachilidae"
"Vespa velutina";"preysOn";"Ephydridae"
"Vespa velutina";"preysOn";"Nymphalidae"
"Vespa velutina";"preysOn";"Sphingidae"
"Vespa velutina";"preysOn";"Halictinae"
"Vespa velutina";"preysOn";"Calliphoridae"
"Vespa velutina";"preysOn";"Brachycera"
"Vespa velutina";"preysOn";"Apoidea"
"Vespa velutina";"preyedUponBy";"Pernis apivorus"
"Vespa velutina";"preyedUponBy";"Gallus gallus"
"Vespa velutina nigrithorax";"preyedUponBy";"Martes flavigula"
"Vespa velutina";"hasEndoparasite";"Conops vesicularis"
"Vespa velutina";"hasEndoparasite";"Conops vesicularis"
"Vespa velutina nigrithorax";"visitsFlowersOf";"Hedera helix"
"Vespa velutina";"visits";"Millettia pinnata"
"Vespa velutina";"visits";"Zanthoxylum avicennae"
"Vespa velutina";"visits";"Hydrangea chinensis"
"Vespa velutina";"visits";"Micoletzkya"
"Vespa velutina";"visits";"Angelica sylvestris"
"Vespa velutina";"visitsFlowersOf";"Hedera helix"
"Vespa velutina";"visitsFlowersOf";"Cotoneaster"
