yearmonth	eeacellcode	kingdomkey	kingdom	familykey	family	specieskey	species	occurrences	mincoordinateuncertaintyinmeters	mintemporaluncertainty	familycount
2019-06	1kmE5128N2616	1	Animalia	9608	Emberizidae	7634625	Emberiza calandra	2	25.0	86400	5806
2019-04	1kmE5128N2616	1	Animalia	9608	Emberizidae	7634625	Emberiza calandra	5	25.0	86400	5806
2019-06	1kmE5128N2616	1	Animalia	9315	Laniidae	7745240	Lanius collurio	3	25.0	86400	4335
2019-06	1kmE5128N2616	1	Animalia	5248	Hirundinidae	9515886	Hirundo rustica	1	25.0	86400	1891
2019-06	1kmE5128N2616	1	Animalia	5240	Falconidae	9616058	Falco tinnunculus	1	25.0	86400	4836
2019-06	1kmE5128N2616	1	Animalia	5257	Motacillidae	9687165	Motacilla alba	1	25.0	86400	5086
2019-06	1kmE5128N2616	1	Animalia	9331	Phasianidae	9752149	Phasianus colchicus	3	25.0	86400	762
2019-04	1kmE5128N2616	1	Animalia	9331	Phasianidae	9752149	Phasianus colchicus	1	25.0	86400	762
2019-05	1kmE5128N2616	1	Animalia	9350	Sturnidae	9809229	Sturnus vulgaris	1	25.0	86400	2993
2019-04	1kmE5128N2616	1	Animalia	9350	Sturnidae	9809229	Sturnus vulgaris	2	25.0	86400	2993
2019-06	1kmE5128N2616	1	Animalia	9350	Sturnidae	9809229	Sturnus vulgaris	1	25.0	86400	2993
2022-06	1kmE5129N2605	1	Animalia	5242	Fringillidae	2494686	Carduelis carduelis	1	1000.0	86400	6448
2020-06	1kmE5129N2606	1	Animalia	5235	Corvidae	5229490	Pica pica	1	1000.0	86400	14306
2020-06	1kmE5129N2607	1	Animalia	9608	Emberizidae	7634625	Emberiza calandra	1	1000.0	86400	5806
2019-12	1kmE5129N2615	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	3	25.0	86400	12342
2020-02	1kmE5129N2615	1	Animalia	5290	Turdidae	2490737	Turdus pilaris	1	25.0	86400	4703
2019-12	1kmE5129N2615	1	Animalia	5290	Turdidae	2490737	Turdus pilaris	1	25.0	86400	4703
2020-02	1kmE5129N2615	1	Animalia	5242	Fringillidae	2494686	Carduelis carduelis	1	25.0	86400	6448
2021-07	1kmE5129N2615	1	Animalia	9309	Cuculidae	5231918	Cuculus canorus	1	5.0	86400	779
2019-06	1kmE5129N2615	1	Animalia	9309	Cuculidae	5231918	Cuculus canorus	2	25.0	86400	779
2019-05	1kmE5129N2615	1	Animalia	9309	Cuculidae	5231918	Cuculus canorus	1	25.0	86400	779
2020-02	1kmE5129N2615	1	Animalia	5240	Falconidae	9616058	Falco tinnunculus	1	25.0	86400	4836
2019-06	1kmE5129N2615	1	Animalia	5257	Motacillidae	9687165	Motacilla alba	2	25.0	86400	5086
2019-12	1kmE5129N2615	1	Animalia	9331	Phasianidae	9752149	Phasianus colchicus	1	25.0	86400	762
2019-06	1kmE5129N2615	1	Animalia	9350	Sturnidae	9809229	Sturnus vulgaris	1	25.0	86400	2993
2019-05	1kmE5129N2615	1	Animalia	9350	Sturnidae	9809229	Sturnus vulgaris	2	25.0	86400	2993
2019-06	1kmE5129N2617	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	1	25.0	86400	12342
2019-06	1kmE5129N2617	1	Animalia	9309	Cuculidae	5231918	Cuculus canorus	1	25.0	86400	779
2019-06	1kmE5129N2618	1	Animalia	9309	Cuculidae	5231918	Cuculus canorus	1	25.0	86400	779
2019-06	1kmE5129N2618	1	Animalia	9608	Emberizidae	7634625	Emberiza calandra	1	25.0	86400	5806
2019-06	1kmE5129N2618	1	Animalia	3685	Ardeidae	9797180	Ardea cinerea	1	25.0	86400	7397
2019-06	1kmE5129N2619	1	Animalia	5235	Corvidae	5229490	Pica pica	2	25.0	86400	14306
2019-06	1kmE5129N2619	1	Animalia	9309	Cuculidae	5231918	Cuculus canorus	2	25.0	86400	779
2019-06	1kmE5129N2619	1	Animalia	3685	Ardeidae	9797180	Ardea cinerea	1	25.0	86400	7397
2019-06	1kmE5129N2620	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	1	25.0	86400	12342
2019-06	1kmE5129N2620	1	Animalia	5264	Passeridae	5231198	Passer montanus	1	25.0	86400	6090
2019-06	1kmE5129N2620	1	Animalia	9608	Emberizidae	7634625	Emberiza calandra	1	25.0	86400	5806
2019-06	1kmE5129N2620	1	Animalia	5248	Hirundinidae	9515886	Hirundo rustica	1	25.0	86400	1891
2020-06	1kmE5130N2604	1	Animalia	9608	Emberizidae	7634625	Emberiza calandra	1	1000.0	86400	5806
2022-06	1kmE5130N2605	1	Animalia	5242	Fringillidae	2494686	Carduelis carduelis	1	1000.0	86400	6448
2020-06	1kmE5130N2605	1	Animalia	5235	Corvidae	5229490	Pica pica	1	1000.0	86400	14306
2020-06	1kmE5130N2605	1	Animalia	9608	Emberizidae	7634625	Emberiza calandra	1	1000.0	86400	5806
2022-06	1kmE5130N2606	1	Animalia	5235	Corvidae	5229490	Pica pica	1	1000.0	86400	14306
2021-06	1kmE5130N2606	1	Animalia	5235	Corvidae	5229490	Pica pica	1	25.0	86400	14306
2019-06	1kmE5130N2606	1	Animalia	9608	Emberizidae	7634625	Emberiza calandra	2	25.0	86400	5806
2021-06	1kmE5130N2606	1	Animalia	5240	Falconidae	9616058	Falco tinnunculus	1	25.0	86400	4836
2021-06	1kmE5130N2607	1	Animalia	5235	Corvidae	5229490	Pica pica	1	25.0	86400	14306
2020-06	1kmE5130N2607	1	Animalia	9608	Emberizidae	7634625	Emberiza calandra	1	1000.0	86400	5806
2019-06	1kmE5130N2607	1	Animalia	9608	Emberizidae	7634625	Emberiza calandra	1	25.0	86400	5806
2019-06	1kmE5130N2614	1	Animalia	9350	Sturnidae	9809229	Sturnus vulgaris	1	25.0	86400	2993
2019-12	1kmE5130N2615	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	2	25.0	86400	12342
2020-02	1kmE5130N2615	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	2	25.0	86400	12342
2019-06	1kmE5130N2615	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	1	25.0	86400	12342
2019-12	1kmE5130N2615	1	Animalia	5233	Columbidae	2495696	Streptopelia decaocto	1	25.0	86400	7712
2020-02	1kmE5130N2615	1	Animalia	5233	Columbidae	2495696	Streptopelia decaocto	1	25.0	86400	7712
2022-06	1kmE5130N2615	1	Animalia	5235	Corvidae	5229490	Pica pica	1	1000.0	86400	14306
2019-12	1kmE5130N2615	1	Animalia	9331	Phasianidae	9752149	Phasianus colchicus	3	25.0	86400	762
2019-06	1kmE5130N2615	1	Animalia	9350	Sturnidae	9809229	Sturnus vulgaris	1	25.0	86400	2993
2019-12	1kmE5130N2616	1	Animalia	9331	Phasianidae	9752149	Phasianus colchicus	1	25.0	86400	762
2019-12	1kmE5130N2617	1	Animalia	5235	Corvidae	5229490	Pica pica	1	25.0	86400	14306
2019-12	1kmE5130N2617	1	Animalia	5240	Falconidae	9616058	Falco tinnunculus	1	25.0	86400	4836
2023-08	1kmE5130N2618	1	Animalia	2877	Accipitridae	2480482	Circus aeruginosus	1	1000.0	86400	12342
2019-06	1kmE5130N2618	1	Animalia	9608	Emberizidae	7634625	Emberiza calandra	3	25.0	86400	5806
2019-06	1kmE5130N2619	1	Animalia	2480210	Charadriidae	2480242	Vanellus vanellus	1	25.0	86400	1815
2019-06	1kmE5130N2619	1	Animalia	9608	Emberizidae	7634625	Emberiza calandra	2	25.0	86400	5806
2019-06	1kmE5130N2619	1	Animalia	9350	Sturnidae	9809229	Sturnus vulgaris	2	25.0	86400	2993
2019-06	1kmE5130N2620	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	1	25.0	86400	12342
2019-06	1kmE5130N2620	1	Animalia	9608	Emberizidae	7634625	Emberiza calandra	1	25.0	86400	5806
2022-06	1kmE5131N2604	1	Animalia	5235	Corvidae	5229490	Pica pica	1	1000.0	86400	14306
2020-06	1kmE5131N2604	1	Animalia	9309	Cuculidae	5231918	Cuculus canorus	1	1000.0	86400	779
2021-06	1kmE5131N2605	1	Animalia	5235	Corvidae	5229490	Pica pica	1	25.0	86400	14306
2019-06	1kmE5131N2605	1	Animalia	9608	Emberizidae	7634625	Emberiza calandra	1	25.0	86400	5806
2022-06	1kmE5131N2606	1	Animalia	5235	Corvidae	5229490	Pica pica	1	1000.0	86400	14306
2020-06	1kmE5131N2606	1	Animalia	9309	Cuculidae	5231918	Cuculus canorus	1	1000.0	86400	779
2020-06	1kmE5131N2606	1	Animalia	9608	Emberizidae	7634625	Emberiza calandra	1	1000.0	86400	5806
2021-06	1kmE5131N2607	1	Animalia	9608	Emberizidae	7634625	Emberiza calandra	1	25.0	86400	5806
2022-06	1kmE5131N2613	1	Animalia	5235	Corvidae	5229490	Pica pica	1	1000.0	86400	14306
2020-02	1kmE5131N2614	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	1	25.0	86400	12342
2019-12	1kmE5131N2614	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	4	25.0	86400	12342
2019-09	1kmE5131N2614	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	1	25.0	86400	12342
2019-05	1kmE5131N2614	1	Animalia	5233	Columbidae	2495696	Streptopelia decaocto	1	25.0	86400	7712
2019-12	1kmE5131N2614	1	Animalia	9348	Strigidae	2497266	Athene noctua	1	25.0	86400	2789
2019-04	1kmE5131N2614	1	Animalia	9348	Strigidae	2497266	Athene noctua	1	25.0	86400	2789
2020-02	1kmE5131N2614	1	Animalia	5235	Corvidae	5229490	Pica pica	1	25.0	86400	14306
2019-06	1kmE5131N2614	1	Animalia	5235	Corvidae	5229490	Pica pica	1	25.0	86400	14306
2019-12	1kmE5131N2614	1	Animalia	5264	Passeridae	5231198	Passer montanus	1	25.0	86400	6090
2019-05	1kmE5131N2614	1	Animalia	9309	Cuculidae	5231918	Cuculus canorus	1	25.0	86400	779
2019-06	1kmE5131N2614	1	Animalia	5242	Fringillidae	5845582	Chloris chloris	2	25.0	86400	6448
2019-05	1kmE5131N2614	1	Animalia	9608	Emberizidae	7634625	Emberiza calandra	1	25.0	86400	5806
2019-05	1kmE5131N2614	1	Animalia	5248	Hirundinidae	9515886	Hirundo rustica	1	25.0	86400	1891
2020-02	1kmE5131N2614	1	Animalia	5240	Falconidae	9616058	Falco tinnunculus	1	25.0	86400	4836
2019-10	1kmE5131N2614	1	Animalia	5240	Falconidae	9616058	Falco tinnunculus	1	25.0	86400	4836
2019-12	1kmE5131N2614	1	Animalia	9331	Phasianidae	9752149	Phasianus colchicus	1	25.0	86400	762
2019-06	1kmE5131N2614	1	Animalia	2986	Anatidae	9761484	Anas platyrhynchos	1	25.0	86400	12925
2019-05	1kmE5131N2614	1	Animalia	9350	Sturnidae	9809229	Sturnus vulgaris	2	25.0	86400	2993
2019-06	1kmE5131N2617	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	1	25.0	86400	12342
2019-06	1kmE5131N2618	1	Animalia	9608	Emberizidae	7634625	Emberiza calandra	1	25.0	86400	5806
2020-06	1kmE5131N2620	1	Animalia	9348	Strigidae	2497266	Athene noctua	1	25.0	86400	2789
2022-06	1kmE5132N2605	1	Animalia	5235	Corvidae	5229490	Pica pica	1	1000.0	86400	14306
2020-06	1kmE5132N2605	1	Animalia	9350	Sturnidae	9809229	Sturnus vulgaris	1	1000.0	86400	2993
2019-06	1kmE5132N2606	1	Animalia	5235	Corvidae	5229490	Pica pica	1	25.0	86400	14306
2019-06	1kmE5132N2606	1	Animalia	5240	Falconidae	9616058	Falco tinnunculus	1	25.0	86400	4836
2020-06	1kmE5132N2606	1	Animalia	5240	Falconidae	9616058	Falco tinnunculus	1	1000.0	86400	4836
2022-06	1kmE5132N2613	1	Animalia	5235	Corvidae	5229490	Pica pica	1	1000.0	86400	14306
2019-12	1kmE5132N2614	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	1	25.0	86400	12342
2020-02	1kmE5132N2614	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	1	25.0	86400	12342
2022-06	1kmE5132N2614	1	Animalia	5242	Fringillidae	2494686	Carduelis carduelis	1	1000.0	86400	6448
2019-12	1kmE5132N2614	1	Animalia	5235	Corvidae	5229490	Pica pica	2	25.0	86400	14306
2022-06	1kmE5132N2614	1	Animalia	5235	Corvidae	5229490	Pica pica	1	1000.0	86400	14306
2019-04	1kmE5132N2614	1	Animalia	9608	Emberizidae	7634625	Emberiza calandra	1	25.0	86400	5806
2019-12	1kmE5132N2614	1	Animalia	9331	Phasianidae	9752149	Phasianus colchicus	2	25.0	86400	762
2019-04	1kmE5132N2614	1	Animalia	9331	Phasianidae	9752149	Phasianus colchicus	1	25.0	86400	762
2019-06	1kmE5132N2614	1	Animalia	3685	Ardeidae	9797180	Ardea cinerea	1	25.0	86400	7397
2019-12	1kmE5132N2615	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	4	25.0	86400	12342
2020-02	1kmE5132N2615	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	1	25.0	86400	12342
2019-04	1kmE5132N2615	1	Animalia	5240	Falconidae	2481062	Falco vespertinus	2	25.0	86400	4836
2019-04	1kmE5132N2615	1	Animalia	5235	Corvidae	5229490	Pica pica	1	25.0	86400	14306
2019-12	1kmE5132N2615	1	Animalia	5235	Corvidae	5229490	Pica pica	2	25.0	86400	14306
2019-06	1kmE5132N2615	1	Animalia	5235	Corvidae	5229490	Pica pica	1	25.0	86400	14306
2020-02	1kmE5132N2615	1	Animalia	5235	Corvidae	5229490	Pica pica	2	25.0	86400	14306
2019-04	1kmE5132N2615	1	Animalia	9608	Emberizidae	7634625	Emberiza calandra	1	25.0	86400	5806
2019-05	1kmE5132N2615	1	Animalia	9608	Emberizidae	7634625	Emberiza calandra	1	25.0	86400	5806
2020-02	1kmE5132N2615	1	Animalia	5240	Falconidae	9616058	Falco tinnunculus	1	25.0	86400	4836
2019-06	1kmE5132N2615	1	Animalia	5240	Falconidae	9616058	Falco tinnunculus	1	25.0	86400	4836
2019-06	1kmE5132N2615	1	Animalia	3685	Ardeidae	9797180	Ardea cinerea	1	25.0	86400	7397
2019-06	1kmE5132N2618	1	Animalia	9608	Emberizidae	7634625	Emberiza calandra	2	25.0	86400	5806
2019-06	1kmE5132N2618	1	Animalia	9331	Phasianidae	9752149	Phasianus colchicus	1	25.0	86400	762
2020-07	1kmE5132N2619	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	1	1000.0	86400	12342
2019-08	1kmE5132N2620	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	1	25.0	86400	12342
2020-06	1kmE5132N2620	1	Animalia	9348	Strigidae	2497266	Athene noctua	1	25.0	86400	2789
2019-06	1kmE5133N2606	1	Animalia	7211	Alaudidae	2490669	Galerida cristata	1	25.0	86400	2832
2019-06	1kmE5133N2606	1	Animalia	5235	Corvidae	5229490	Pica pica	2	25.0	86400	14306
2020-06	1kmE5133N2606	1	Animalia	5235	Corvidae	5229490	Pica pica	1	1000.0	86400	14306
2019-06	1kmE5133N2606	1	Animalia	9608	Emberizidae	7634625	Emberiza calandra	2	25.0	86400	5806
2021-06	1kmE5133N2606	1	Animalia	5240	Falconidae	9616058	Falco tinnunculus	1	25.0	86400	4836
2019-06	1kmE5133N2606	1	Animalia	9350	Sturnidae	9809229	Sturnus vulgaris	1	25.0	86400	2993
2019-09	1kmE5133N2607	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	1	25.0	86400	12342
2019-09	1kmE5133N2607	1	Animalia	5240	Falconidae	9616058	Falco tinnunculus	1	25.0	86400	4836
2019-12	1kmE5133N2614	1	Animalia	2480210	Charadriidae	2480332	Pluvialis apricaria	1	100.0	86400	1815
2019-10	1kmE5133N2615	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	1	25.0	86400	12342
2020-02	1kmE5133N2615	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	4	25.0	86400	12342
2019-12	1kmE5133N2615	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	6	25.0	86400	12342
2020-10	1kmE5133N2615	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	2	25.0	86400	12342
2020-10	1kmE5133N2615	1	Animalia	9348	Strigidae	2497266	Athene noctua	1	25.0	86400	2789
2020-02	1kmE5133N2615	1	Animalia	5235	Corvidae	5229490	Pica pica	1	25.0	86400	14306
2019-12	1kmE5133N2615	1	Animalia	5235	Corvidae	5229490	Pica pica	2	25.0	86400	14306
2019-06	1kmE5133N2615	1	Animalia	9608	Emberizidae	7634625	Emberiza calandra	7	25.0	86400	5806
2019-05	1kmE5133N2615	1	Animalia	9608	Emberizidae	7634625	Emberiza calandra	2	25.0	86400	5806
2019-06	1kmE5133N2615	1	Animalia	5248	Hirundinidae	9515886	Hirundo rustica	1	25.0	86400	1891
2020-02	1kmE5133N2615	1	Animalia	5240	Falconidae	9616058	Falco tinnunculus	2	25.0	86400	4836
2019-06	1kmE5133N2615	1	Animalia	5257	Motacillidae	9687165	Motacilla alba	1	25.0	86400	5086
2019-04	1kmE5133N2615	1	Animalia	9331	Phasianidae	9752149	Phasianus colchicus	3	25.0	86400	762
2020-07	1kmE5133N2616	1	Animalia	5233	Columbidae	2495696	Streptopelia decaocto	1	1000.0	86400	7712
2020-07	1kmE5133N2616	1	Animalia	5264	Passeridae	5231190	Passer domesticus	1	1000.0	86400	6090
2020-07	1kmE5133N2616	1	Animalia	5264	Passeridae	5231198	Passer montanus	1	1000.0	86400	6090
2020-07	1kmE5133N2617	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	1	1000.0	86400	12342
2020-07	1kmE5133N2617	1	Animalia	5257	Motacillidae	9687165	Motacilla alba	1	1000.0	86400	5086
2019-12	1kmE5133N2618	1	Animalia	2877	Accipitridae	2480487	Circus cyaneus	1	25.0	86400	12342
2020-07	1kmE5133N2618	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	1	1000.0	86400	12342
2019-12	1kmE5133N2618	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	1	25.0	86400	12342
2019-06	1kmE5133N2618	1	Animalia	9289	Ciconiidae	2481912	Ciconia ciconia	1	25.0	86400	2895
2019-12	1kmE5133N2618	1	Animalia	2878	Aegithalidae	2495000	Aegithalos caudatus	1	25.0	86400	368
2019-06	1kmE5133N2618	1	Animalia	5235	Corvidae	5229493	Garrulus glandarius	1	25.0	86400	14306
2019-06	1kmE5133N2618	1	Animalia	9309	Cuculidae	5231918	Cuculus canorus	1	25.0	86400	779
2018-06	1kmE5133N2618	1	Animalia	9608	Emberizidae	7634625	Emberiza calandra	1	25.0	86400	5806
2018-06	1kmE5133N2618	1	Animalia	9331	Phasianidae	9752149	Phasianus colchicus	1	25.0	86400	762
2017-04	1kmE5133N2618	1	Animalia	2986	Anatidae	9761484	Anas platyrhynchos	2	25.0	86400	12925
2021-06	1kmE5134N2604	1	Animalia	5240	Falconidae	9616058	Falco tinnunculus	1	25.0	86400	4836
2022-06	1kmE5134N2605	1	Animalia	5235	Corvidae	5229490	Pica pica	1	1000.0	86400	14306
2020-06	1kmE5134N2607	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	1	1000.0	86400	12342
2019-06	1kmE5134N2607	1	Animalia	9608	Emberizidae	7634625	Emberiza calandra	2	25.0	86400	5806
2021-06	1kmE5134N2607	1	Animalia	5240	Falconidae	9616058	Falco tinnunculus	1	25.0	86400	4836
2019-06	1kmE5134N2607	1	Animalia	5240	Falconidae	9616058	Falco tinnunculus	1	25.0	86400	4836
2022-06	1kmE5134N2614	1	Animalia	5242	Fringillidae	5845582	Chloris chloris	1	1000.0	86400	6448
2019-09	1kmE5134N2615	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	1	25.0	86400	12342
2019-12	1kmE5134N2615	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	2	25.0	86400	12342
2020-02	1kmE5134N2615	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	1	25.0	86400	12342
2019-12	1kmE5134N2615	1	Animalia	2877	Accipitridae	2480637	Accipiter nisus	1	10.0	86400	12342
2019-12	1kmE5134N2615	1	Animalia	5290	Turdidae	2490737	Turdus pilaris	2	10.0	86400	4703
2019-12	1kmE5134N2615	1	Animalia	5242	Fringillidae	2494686	Carduelis carduelis	1	25.0	86400	6448
2019-06	1kmE5134N2615	1	Animalia	5242	Fringillidae	2494686	Carduelis carduelis	1	25.0	86400	6448
2019-12	1kmE5134N2615	1	Animalia	5233	Columbidae	2495696	Streptopelia decaocto	1	25.0	86400	7712
2019-10	1kmE5134N2615	1	Animalia	9348	Strigidae	2497266	Athene noctua	1	25.0	86400	2789
2019-12	1kmE5134N2615	1	Animalia	9348	Strigidae	2497266	Athene noctua	1	25.0	86400	2789
2019-05	1kmE5134N2615	1	Animalia	9322	Muscicapidae	4408759	Saxicola rubicola	1	25.0	86400	7555
2019-06	1kmE5134N2615	1	Animalia	9322	Muscicapidae	4408759	Saxicola rubicola	1	25.0	86400	7555
2019-05	1kmE5134N2615	1	Animalia	9322	Muscicapidae	5231240	Oenanthe oenanthe	1	10.0	86400	7555
2019-06	1kmE5134N2615	1	Animalia	9322	Muscicapidae	5231240	Oenanthe oenanthe	1	25.0	86400	7555
2019-06	1kmE5134N2615	1	Animalia	5242	Fringillidae	5845582	Chloris chloris	1	25.0	86400	6448
2019-04	1kmE5134N2615	1	Animalia	9608	Emberizidae	7634625	Emberiza calandra	1	25.0	86400	5806
2019-05	1kmE5134N2615	1	Animalia	9608	Emberizidae	7634625	Emberiza calandra	2	25.0	86400	5806
2019-06	1kmE5134N2615	1	Animalia	9608	Emberizidae	7634625	Emberiza calandra	3	25.0	86400	5806
2019-06	1kmE5134N2615	1	Animalia	5240	Falconidae	9616058	Falco tinnunculus	1	25.0	86400	4836
2019-12	1kmE5134N2615	1	Animalia	5240	Falconidae	9616058	Falco tinnunculus	4	10.0	86400	4836
2019-12	1kmE5134N2615	1	Animalia	9331	Phasianidae	9752149	Phasianus colchicus	1	25.0	86400	762
2019-05	1kmE5134N2615	1	Animalia	9350	Sturnidae	9809229	Sturnus vulgaris	1	25.0	86400	2993
2020-07	1kmE5134N2616	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	1	1000.0	86400	12342
2020-07	1kmE5134N2616	1	Animalia	5233	Columbidae	2495696	Streptopelia decaocto	1	1000.0	86400	7712
2019-12	1kmE5134N2617	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	1	25.0	86400	12342
2020-07	1kmE5134N2617	1	Animalia	5264	Passeridae	5231190	Passer domesticus	1	1000.0	86400	6090
2019-12	1kmE5134N2618	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	2	25.0	86400	12342
2018-06	1kmE5134N2618	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	1	25.0	86400	12342
2019-06	1kmE5134N2618	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	1	25.0	86400	12342
2018-06	1kmE5134N2618	1	Animalia	2878	Aegithalidae	2495000	Aegithalos caudatus	2	25.0	86400	368
2019-12	1kmE5134N2618	1	Animalia	9348	Strigidae	2497306	Asio otus	1	25.0	86400	2789
2018-06	1kmE5134N2618	1	Animalia	9309	Cuculidae	5231918	Cuculus canorus	2	25.0	86400	779
2017-06	1kmE5134N2618	1	Animalia	5242	Fringillidae	5845582	Chloris chloris	1	25.0	86400	6448
2018-06	1kmE5134N2618	1	Animalia	9331	Phasianidae	9752149	Phasianus colchicus	1	25.0	86400	762
2020-07	1kmE5134N2618	1	Animalia	9350	Sturnidae	9809229	Sturnus vulgaris	1	1000.0	86400	2993
2019-12	1kmE5134N2619	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	2	25.0	86400	12342
2019-12	1kmE5134N2619	1	Animalia	9327	Paridae	2487879	Cyanistes caeruleus	1	25.0	86400	4357
2019-12	1kmE5134N2619	1	Animalia	5242	Fringillidae	2494686	Carduelis carduelis	1	25.0	86400	6448
2019-12	1kmE5134N2619	1	Animalia	9348	Strigidae	2497306	Asio otus	1	25.0	86400	2789
2019-12	1kmE5134N2619	1	Animalia	5235	Corvidae	5229490	Pica pica	1	25.0	86400	14306
2019-12	1kmE5134N2619	1	Animalia	5235	Corvidae	5229493	Garrulus glandarius	2	25.0	86400	14306
2019-12	1kmE5134N2619	1	Animalia	2986	Anatidae	9761484	Anas platyrhynchos	1	25.0	86400	12925
2020-06	1kmE5135N2603	1	Animalia	2877	Accipitridae	2480482	Circus aeruginosus	1	1000.0	86400	12342
2019-06	1kmE5135N2605	1	Animalia	5235	Corvidae	5229490	Pica pica	1	25.0	86400	14306
2019-06	1kmE5135N2605	1	Animalia	5240	Falconidae	9616058	Falco tinnunculus	1	25.0	86400	4836
2020-06	1kmE5135N2605	1	Animalia	5240	Falconidae	9616058	Falco tinnunculus	1	1000.0	86400	4836
2022-06	1kmE5135N2606	1	Animalia	5235	Corvidae	5229490	Pica pica	1	1000.0	86400	14306
2019-06	1kmE5135N2607	1	Animalia	5235	Corvidae	5229490	Pica pica	2	25.0	86400	14306
2019-06	1kmE5135N2607	1	Animalia	9608	Emberizidae	7634625	Emberiza calandra	1	25.0	86400	5806
2022-06	1kmE5135N2608	1	Animalia	5235	Corvidae	5229490	Pica pica	1	1000.0	86400	14306
2020-02	1kmE5135N2615	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	1	25.0	86400	12342
2019-12	1kmE5135N2615	1	Animalia	2877	Accipitridae	2480537	Buteo buteo	1	25.0	86400	12342
2019-05	1kmE5135N2615	1	Animalia	9289	Ciconiidae	2481912	Ciconia ciconia	1	25.0	86400	2895
