"species_name_network","kingdom"
"Graphosoma italicum","Animalia"
"Osmia cornuta","Animalia"
"Brintesia circe","Animalia"
"Dasycera oliviella","Animalia"
"Eriogaster lanestris","Animalia"
"Viscum album","Plantae"
"Callophrys rubi","Animalia"
"Pieris napi","Animalia"
"Scaeva selenitica","Animalia"
"Chrysotoxum cautum","Animalia"
"Passer montanus","Animalia"
"Coccothraustes coccothraustes","Animalia"
"Pica pica","Animalia"
"Turdus torquatus","Animalia"
"Sylvia curruca","Animalia"
"Sylvia communis","Animalia"
"Phoenicurus phoenicurus","Animalia"
"Phoenicurus ochruros","Animalia"
"Carduelis carduelis","Animalia"
"Chalcosyrphus nemorum","Animalia"
"Lacanobia oleracea","Animalia"
"Meles meles","Animalia"
"Aporia crataegi","Animalia"
"Brenthis ino","Animalia"
"Chloris chloris","Animalia"
"Prionus coriarius","Animalia"
"Xanthoria parietina","Fungi"
"Dendrocopos major","Animalia"
"Piezodorus lituratus","Animalia"
"Kleidocerys resedae","Animalia"
"Satyrium pruni","Animalia"
"Atethmia centrago","Animalia"
"Xylota segnis","Animalia"
"Mallota florea","Animalia"
"Pachytodes cerambyciformis","Animalia"
"Passer domesticus","Animalia"
"Oriolus oriolus","Animalia"
"Ficedula hypoleuca","Animalia"
"Muscicapa striata","Animalia"
"Lotus corniculatus","Plantae"
"Gleditsia triacanthos","Plantae"
"Cossus cossus","Animalia"
"Biston betularia","Animalia"
"Brenthis daphne","Animalia"
"Vanessa atalanta","Animalia"
"Colias erate ","Animalia"
"Oudemansiella mucida","Fungi"
"Pyrgus malvae","Animalia"
"Sus scrofa","Animalia"
"Coloeus monedula","Animalia"
"Satyrium ilicis","Animalia"
"Cerambyx cerdo","Animalia"
"Phalera bucephala","Animalia"
"Empusa fasciata","Animalia"
"Camptogramma bilineata","Animalia"
"Rutpela maculata","Animalia"
"Halyzia sedecimguttata","Animalia"
"Aconitum hosteanum","Plantae"
"Acer negundo","Plantae"
"Malva neglecta","Plantae"
"Aconitum lycoctonum","Plantae"
"Sambucus nigra","Plantae"
"Fagus sylvatica","Plantae"
"Orchis mascula","Plantae"
"Neottia ovata","Plantae"
"Dactylorhiza fuchsii","Plantae"
"Physcia tenella","Fungi"
"Sitta europaea","Animalia"
"Psittacula krameri","Animalia"
"Picus viridis","Animalia"
"Nezara viridula","Animalia"
"Ochlodes sylvanus","Animalia"
"Spialia orbifer","Animalia"
"Hipparchia statilinus","Animalia"
"Hyles euphorbiae","Animalia"
"Tettigonia viridissima","Animalia"
"Meconema thalassinum","Animalia"
"Hemipenthes morio","Animalia"
"Chloromyia formosa","Animalia"
"Scathophaga stercoraria","Animalia"
"Ferdinandea cuprea","Animalia"
"Volucella inanis","Animalia"
"Eupeodes luniger","Animalia"
"Temnostoma vespiforme","Animalia"
"Syrphus vitripennis","Animalia"
"Polistes nimpha","Animalia"
"Exochomus quadripustulatus","Animalia"
"Poecile montanus","Animalia"
"Aphantopus hyperantus","Animalia"
"Stercorarius parasiticus","Animalia"
"Mustela eversmanii","Animalia"
"Chrysogaster solstitialis","Animalia"
"Trifolium pratense","Plantae"
"Dictamnus albus","Plantae"
"Glechoma hederacea","Plantae"
"Tanacetum vulgare","Plantae"
"Nomophila noctuella","Animalia"
"Erodium cicutarium","Plantae"
"Mustela nivalis","Animalia"
"Vormela peregusna","Animalia"
"Nymphalis polychloros","Animalia"
"Flavoparmelia caperata","Fungi"
"Cephalanthera longifolia","Plantae"
"Cephalanthera damasonium","Plantae"
"Allium ursinum","Plantae"
"Mustela erminea","Animalia"
"Dorcus parallelipipedus","Animalia"
"Anthophora plumipes","Animalia"
"Pisaura mirabilis","Animalia"
"Chrysomela aenea","Animalia"
"Liocoris tripustulatus","Animalia"
"Carpocoris mediterraneus","Animalia"
"Agrotis exclamationis","Animalia"
"Rhagium mordax","Animalia"
"Anoplodera sexguttata","Animalia"
"Physcia adscendens","Fungi"
"Acanthis cabaret","Animalia"
"Peribalus strictus","Animalia"
"Holcostethus strictus","Animalia"
"Regulus ignicapilla","Animalia"
"Coronella austriaca","Animalia"
"Acanthosoma haemorrhoidale","Animalia"
"Lanius excubitor","Animalia"
"Epistrophe nitidicollis","Animalia"
"Platyrhinus resinosus","Animalia"
"Capreolus capreolus","Animalia"
"Loranthus europaeus","Plantae"
"Caltha palustris","Plantae"
"Echinocystis lobata","Plantae"
"Passer hispaniolensis","Animalia"
"Erinaceus roumanicus","Animalia"
"Leptoglossus occidentalis","Animalia"
"Scopula ornata","Animalia"
"Drepana falcataria","Animalia"
"Thyatira batis","Animalia"
"Stauropus fagi","Animalia"
"Xanthogramma pedissequum","Animalia"
"Xanthogramma festiva","Animalia"
"Criorhina berberina","Animalia"
"Sceliphron destillatorium","Animalia"
"Diplazon laetatorius","Animalia"
"Euplagia quadripunctaria","Animalia"
"Tenthredo temula","Animalia"
"Macrophya annulata","Animalia"
"Arma custos","Animalia"
"Leptura quadrifasciata","Animalia"
"Stenomax aeneus","Animalia"
"Psyllobora vigintiduopunctata","Animalia"
"Coccinula quatuordecimpustulata","Animalia"
"Rhagonycha fulva","Animalia"
"Coreus marginatus","Animalia"
"Cirsium vulgare","Plantae"
"Viscum album","Plantae"
"Bistorta vivipara","Plantae"
"Phaeolus schweinitzii","Fungi"
"Meripilus giganteus","Fungi"
"Fistulina hepatica","Fungi"
"Columba oenas","Animalia"
"Emberiza cia","Animalia"
"Motacilla alba","Animalia"
"Lophophanes cristatus","Animalia"
"Periparus ater","Animalia"
"Circaetus gallicus","Animalia"
"Buteo buteo","Animalia"
"Dryobates minor","Animalia"
"Dolichophis caspius","Animalia"
"Cervus elaphus","Animalia"
"Muscardinus avellanarius","Animalia"
"Philaeus chrysops","Animalia"
"Elasmostethus interstinctus","Animalia"
"Deraeocoris ruber","Animalia"
"Selenia lunularia","Animalia"
"Iphiclides podalirius","Animalia"
"Aricia agestis","Animalia"
"Araschnia levana","Animalia"
"Polygonia c-album","Animalia"
"Nymphalis c-album","Animalia"
"Macroglossum stellatarum","Animalia"
"Peridea anceps","Animalia"
"Craniophora ligustri","Animalia"
"Poecilocampa populi","Animalia"
"Zeuzera pyrina","Animalia"
"Pezotettix giornae","Animalia"
"Phaneroptera nana","Animalia"
"Conocephalus dorsalis","Animalia"
"Hemipenthes velutina","Animalia"
"Stratiomys longicornis","Animalia"
"Volucella pellucens","Animalia"
"Baccha elongata","Animalia"
"Chrysotoxum bicinctum","Animalia"
"Chrysotoxum verralli","Animalia"
"Pipizella viduata","Animalia"
"Cynomya mortuorum","Animalia"
"Sympetrum sanguineum","Animalia"
"Pyrrhosoma nymphula","Animalia"
"Bombus hortorum","Animalia"
"Lacerta trilineata","Animalia"
"Carabus granulatus","Animalia"
"Pteridium aquilinum","Plantae"
"Rutilus rutilus","Animalia"
"Nucifraga caryocatactes","Animalia"
"Corvus frugilegus","Animalia"
"Asio otus","Animalia"
"Eremophila alpestris","Animalia"
"Aegithalos caudatus","Animalia"
"Otis tarda","Animalia"
"Streptopelia decaocto","Animalia"
"Vipera ammodytes","Animalia"
"Arctia caja","Animalia"
"Callimorpha dominula","Animalia"
"Cerambyx scopoli","Animalia"
"Vipera berus","Animalia"
"Urtica dioica","Plantae"
"Larus cachinnans","Animalia"
"Ardea alba","Animalia"
"Otus scops","Animalia"
"Emberiza schoeniclus","Animalia"
"Fringilla montifringilla","Animalia"
"Loxia curvirostra","Animalia"
"Lanius senator","Animalia"
"Lanius minor","Animalia"
"Lanius collurio","Animalia"
"Troglodytes troglodytes","Animalia"
"Larus canus","Animalia"
"Larus argentatus","Animalia"
"Larus marinus","Animalia"
"Numenius arquata","Animalia"
"Ichthyaetus ichthyaetus","Animalia"
"Grus grus","Animalia"
"Falco subbuteo","Animalia"
"Falco tinnunculus","Animalia"
"Ciconia nigra","Animalia"
"Ciconia ciconia","Animalia"
"Circus cyaneus","Animalia"
"Buteo lagopus","Animalia"
"Burhinus oedicnemus","Animalia"
"Ardea purpurea","Animalia"
"Nycticorax nycticorax","Animalia"
"Egretta garzetta","Animalia"
"Buteo rufinus","Animalia"
"Circus aeruginosus","Animalia"
"Circus macrourus","Animalia"
"Pachyta quadrimaculata","Animalia"
"Mesosa curculionoides","Animalia"
"Lacerta agilis","Animalia"
"Natrix natrix","Animalia"
"Platycheirus scutatus","Animalia"
"Neoascia podagrica","Animalia"
"Morus alba","Plantae"
"Stellaria media","Plantae"
"Abutilon theophrasti","Plantae"
"Veronica serpyllifolia","Plantae"
"Grammodes stolida","Animalia"
"Cosmia trapezina","Animalia"
"Leucoma salicis","Animalia"
"Acronicta aceris","Animalia"
"Erigeron annuus","Plantae"
"Agrotis ipsilon","Animalia"
"Lomographa bimaculata","Animalia"
"Xylocopa violacea","Animalia"
"Anaglyptus mysticus","Animalia"
"Alosterna tabacicolor","Animalia"
"Locustella naevia","Animalia"
"Angerona prunaria","Animalia"
"Abraxas grossulariata","Animalia"
"Plemyria rubiginata","Animalia"
"Cetonia aurata","Animalia"
"Ischnura elegans","Animalia"
"Libellula depressa","Animalia"
"Lucanus cervus","Animalia"
"Thalera fimbrialis","Animalia"
"Andrena flavipes","Animalia"
"Salmo trutta","Animalia"
"Cynthia cardui","Animalia"
"Dendrocopos medius","Animalia"
"Plagionotus arcuatus","Animalia"
"Stenurella nigra","Animalia"
"Lacerta viridis","Animalia"
"Scaeva pyrastri?","Animalia"
"Laetiporus sulphureus","Fungi"
"Centrotus cornutus","Animalia"
"Ganoderma sessile","Fungi"
"Satyrium spini","Animalia"
"Caucasotachea vindobonensis","Animalia"
"Rhyparochromus vulgaris","Animalia"
"Agapanthia villosoviridescens","Animalia"
"Sciurus vulgaris","Animalia"
"Hipparchia semele","Animalia"
"Phylloscopus sibillatrix","Animalia"
"Oxalis acetosella","Plantae"
"Cardamine pratensis","Plantae"
"Melanargia galathea","Animalia"
"Eristalis lineata","Animalia"
"Argynnis pandora","Animalia"
"Asplenium trichomanes","Plantae"
"Pyronia tithonus","Animalia"
"Rosalia alpina","Animalia"
"Ichthyaetus audouinii","Animalia"
"Solidago virgaurea","Plantae"
"Asio flammeus","Animalia"
"Ephemera lineata","Animalia"
"Spinus spinus","Animalia"
"Satyrium w-album","Animalia"
"Lysandra coridon","Animalia"
"Xanthogramma citrofasciatum","Animalia"
"Pentatoma rufipes","Animalia"
"Rhaphigaster nebulosa","Animalia"
"Trichodes alvearius","Animalia"
"Cantharis livida","Animalia"
"Iduna pallida","Animalia"
"Myodes glareolus","Animalia"
"Glis glis","Animalia"
"Andromeda polifolia","Plantae"
"Hepatica nobilis","Plantae"
"Taraxacum officinale","Plantae"
"Arctium tomentosum","Plantae"
"Stellaria media","Plantae"
"Alliaria petiolata","Plantae"
"Geum rivale","Plantae"
"Potentilla erecta","Plantae"
"Lotus corniculatus","Plantae"
"Prunella vulgaris","Plantae"
"Chelidonium majus","Plantae"
"Picea abies","Plantae"
"Taxus baccata","Plantae"
"Thelypteris palustris","Plantae"
"Aleuria aurantia","Fungi"
"Amanita phalloides","Fungi"
"Psittacula eupatria","Animalia"
"Bufo bufo","Animalia"
"Lycia hirtaria","Animalia"
"Hesperia comma","Animalia"
"Colias croceus","Animalia"
"Erebia aethiops","Animalia"
"Neptis sappho","Animalia"
"Nymphalis xanthomelas","Animalia"
"Polygonia vau-album","Animalia"
"Endotricha flammealis","Animalia"
"Sphinx ligustri","Animalia"
"Laothoe populi","Animalia"
"Arctia villica","Animalia"
"Conops flavipes","Animalia"
"Conops quadrifasciatus","Animalia"
"Conops strigatus","Animalia"
"Helophilus pendulus","Animalia"
"Leucozona lucorum","Animalia"
"Criorhina asilica","Animalia"
"Phaonia angelicae","Animalia"
"Gomphus vulgatissimus","Animalia"
"Hylobius (Callirus) abietis","Animalia"
"Odonteus armiger","Animalia"
"Lasiommata megera","Animalia"
"Argynnis aglaja","Animalia"
"Argynnis adippe","Animalia"
"Notodonta ziczac","Animalia"
"Xylota jakutorum","Animalia"
"Athalia rosae","Animalia"
"Pyrrhocoris apterus","Animalia"
"Spilostethus saxatilis","Animalia"
"Oxycarenus lavaterae","Animalia"
"Eysarcoris venustissimus","Animalia"
"Dolycoris baccarum","Animalia"
"Carpocoris fuscispinus","Animalia"
"Carpocoris purpureipennis","Animalia"
"Ancyrosoma leucogrammes","Animalia"
"Chrysolina polita","Animalia"
"Plagiosterna aenea","Animalia"
"Chrysomela vigintipunctata","Animalia"
"Chlorophorus varius","Animalia"
"Malachius bipustulatus","Animalia"
"Agrypnus murinus","Animalia"
"Phyllopertha horticola","Animalia"
"Castor fiber","Animalia"
"Corizus hyoscyami","Animalia"
"Syromastus rhombeus","Animalia"
"Cervus canadensis","Animalia"
"Monotropa hypopitys","Plantae"
"Veronica chamaedrys","Plantae"
"Candelariella aurella","Fungi"
"Drosera rotundifolia","Plantae"
"Veronica officinalis","Plantae"
"Vinca minor","Plantae"
"Malva sylvestris","Plantae"
"Cirsium arvense","Plantae"
"Sonchus oleraceus","Plantae"
"Cornus sanguinea","Plantae"
"Anemone nemorosa","Plantae"
"Filipendula ulmaria","Plantae"
"Glechoma hederacea","Plantae"
"Verbena officinalis","Plantae"
"Viscum album","Plantae"
"Rumex acetosa","Plantae"
"Succisa pratensis","Plantae"
"Scabiosa ochroleuca","Plantae"
"Vaccinium vitis-idaea","Plantae"
"Vaccinium myrtillus","Plantae"
"Quercus robur","Plantae"
"Corylus avellana","Plantae"
"Platanthera chlorantha","Plantae"
"Cephalanthera rubra","Plantae"
"Anthoxanthum odoratum","Plantae"
"Cynosurus echinatus","Plantae"
"Juniperus communis","Plantae"
"Hypnum cupressiforme","Plantae"
"Phegopteris connectilis","Plantae"
"Phegopteris connectilis","Plantae"
"Gymnocarpium dryopteris","Plantae"
"Botrychium lunaria","Plantae"
"Ramalina farinacea","Fungi"
"Vulpicida pinastri","Fungi"
"Artomyces pyxidatus","Fungi"
"Ganoderma resinaceum","Fungi"
"Anas platyrhynchos","Animalia"
"Anser albifrons","Animalia"
"Serinus serinus","Animalia"
"Curruca melanocephala","Animalia"
"Luscinia luscinia","Animalia"
"Certhia familiaris","Animalia"
"Hieraaetus pennatus","Animalia"
"Accipiter nisus","Animalia"
"Dendrocopos syriacus","Animalia"
"Dendrocoptes medius","Animalia"
"Zamenis longissimus","Animalia"
"Apodemus sylvaticus","Animalia"
"Rhinolophus hipposideros","Animalia"
"Barbastella barbastellus","Animalia"
"Miniopterus schreibersii","Animalia"
"Myotis bechsteinii","Animalia"
"Acrosternum heegeri","Animalia"
"Metcalfa pruinosa","Animalia"
"Rhopalus subrufus","Animalia"
"Ceraleptus gracilicornis","Animalia"
"Cercopis intermedia","Animalia"
"Aphrophora alni","Animalia"
"Reduvius personatus","Animalia"
"Ectobius lapponicus","Animalia"
"Ectropis bistortata","Animalia"
"Campaea margaritaria","Animalia"
"Campaea margaritata","Animalia"
"Timandra comae","Animalia"
"Chloroclysta siterata","Animalia"
"Watsonalla binaria","Animalia"
"Carterocephalus palaemon","Animalia"
"Spialia sertorius","Animalia"
"Thymelicus sylvestris","Animalia"
"Synanthedon typhiaeformis","Animalia"
"Lycaena phlaeas","Animalia"
"Gonepteryx rhamni","Animalia"
"Anthocharis cardamines","Animalia"
"Aglais urticae","Animalia"
"Ptilodon capucina","Animalia"
"Notodonta dromedarius","Animalia"
"Calliteara pudibunda","Animalia"
"Spilosoma lubricipeda","Animalia"
"Pseudoips prasinana","Animalia"
"Panemeria tenebrata","Animalia"
"Acronicta rumicis","Animalia"
"Phlogophora meticulosa","Animalia"
"Lasiocampa quercus","Animalia"
"Calliptamus barbarus","Animalia"
"Pholidoptera griseoaptera","Animalia"
"Dasysyrphus albostriatus","Animalia"
"Dasysyrphus pinastri","Animalia"
"Eristalis rupium","Animalia"
"Eupeodes nitens","Animalia"
"Cheilosia barbata","Animalia"
"Sericomyia superbiens","Animalia"
"Lejops lineatus","Animalia"
"Syrphus torvus","Animalia"
"Chrysogaster aerosa","Animalia"
"Pipiza austriaca","Animalia"
"Chrysotoxum vernale","Animalia"
"Paragus pecchiolii","Animalia"
"Sphegina elegans","Animalia"
"Meliscaeva cinctella","Animalia"
"Caliprobola speciosa","Animalia"
"Phasia hemiptera","Animalia"
"Calopteryx virgo","Animalia"
"Diphyus quadripunctorius","Animalia"
"Trichius fasciatus","Animalia"
"Valgus hemipterus","Animalia"
"Oxythyrea funesta","Animalia"
"Lytta vesicatoria","Animalia"
"Hippodamia variegata","Animalia"
"Lutra lutra","Animalia"
"Thymallus thymallus","Animalia"
"Prunella modularis","Animalia"
"Milvus milvus","Animalia"
"Aquila nipalensis","Animalia"
"Aquila heliaca","Animalia"
"Aquila pomarina","Animalia"
"Hylobius abietis","Animalia"
"Anser anser","Animalia"
"Fagisyrphus cinctus","Animalia"
"Brachypalpus valgus","Animalia"
"Cheilosia albitarsis","Animalia"
"Strix aluco","Animalia"
"Glaucidium passerinum","Animalia"
"Corvus monedula","Animalia"
"Dryocopus martius","Animalia"
"Datura stramonium","Plantae"
"Plectrophenax nivalis","Animalia"
"Phylloscopus trochilus","Animalia"
"Cettia cetti","Animalia"
"Luscinia megarhynchos","Animalia"
"Carduelis chloris","Animalia"
"Carduelis cannabina","Animalia"
"Columba livia","Animalia"
"Coracias garrulus","Animalia"
"Larus fuscus","Animalia"
"Gallinula chloropus","Animalia"
"Inachis io","Animalia"
"Falco cherrug","Animalia"
"Falco columbarius","Animalia"
"Falco peregrinus","Animalia"
"Milvus migrans","Animalia"
"Haliaeetus albicilla","Animalia"
"Emberiza citrinella","Animalia"
"Hepialus humuli","Animalia"
"Eristalinus sepulchralis","Animalia"
"Platycheirus rosarum","Animalia"
"Cheilosia pagana","Animalia"
"Helophilus hybridus","Animalia"
"Triglyphus primus","Animalia"
"Pipiza festiva","Animalia"
"Lejogaster metallina","Animalia"
"Cheilosia impressa","Animalia"
"Cheilosia variabilis","Animalia"
"Cheilosia vernalis","Animalia"
"Eriozona syrphoides","Animalia"
"Leucozona glaucia","Animalia"
"Melangyna cincta","Animalia"
"Brachyopa insensilis","Animalia"
"Sphegina clunipes","Animalia"
"Volucella inflata","Animalia"
"Xylota sylvarum","Animalia"
"Sericomyia lappona","Animalia"
"Chrysotoxum arcuatum","Animalia"
"Melilotus albus","Plantae"
"Hygrocybe conica","Fungi"
"Silene latifolia","Plantae"
"Hypericum perforatum","Plantae"
"Capsella bursa-pastoris","Plantae"
"Asclepias syriaca","Plantae"
"Tribulus terrestris","Plantae"
"Plantago lanceolata","Plantae"
"Scoliopteryx libatrix","Animalia"
"Tyta luctuosa","Animalia"
"Lactuca muralis","Plantae"
"Primula elatior","Plantae"
"Acronicta leporina","Animalia"
"Cirsium arvense","Plantae"
"Linaria vulgaris","Plantae"
"Plagodis dolabraria","Animalia"
"Lomaspilis marginata","Animalia"
"Phytolacca americana","Plantae"
"Saturnia pyri","Animalia"
"Aglia tau","Animalia"
"Dryomys nitedula","Animalia"
"Ectropis crepuscularia","Animalia"
"Ascotis selenaria","Animalia"
"Colotois pennaria","Animalia"
"Alcis repandata","Animalia"
"Triphosa dubitata","Animalia"
"Odezia atrata","Animalia"
"Hydriomena impluviata","Animalia"
"Andrena labialis","Animalia"
"Cyclophora albipunctata","Animalia"
"Plebejus argus","Animalia"
"Quercusia quercus","Animalia"
"Lysandra bellargus","Animalia"
"Leptidea sinapis","Animalia"
"Neptis rivularis","Animalia"
"Neptis rivularis","Animalia"
"Apatura iris","Animalia"
"Cyathus striatus","Fungi"
"Boloria selene","Animalia"
"Coenonympha tullia","Animalia"
"Dermestes lardarius","Animalia"
"Epipactis palustris","Plantae"
"Bombus humilis","Animalia"
"Bombus ruderarius","Animalia"
"Bombus sylvarum","Animalia"
"Apis mellifera","Animalia"
"Felis catus","Animalia"
"Dendrocopos minor","Animalia"
"Lactuca serriola","Plantae"
"Agelastica alni","Animalia"
"Vanessa atalanta","Animalia"
"Phasianus colchicus","Animalia"
"Silene dioica","Plantae"
"Viola tricolor","Plantae"
"Athene noctua","Animalia"
"Tyto alba","Animalia"
"Galinsoga quadriradiata","Plantae"
"Rhytidiadelphus triquetrus","Plantae"
"Merops apiaster","Animalia"
"Atropa belladonna","Plantae"
"Plutella xylostella","Animalia"
"Panorpa communis","Animalia"
"Tenebrio molitor","Animalia"
"Emberiza cirlus","Animalia"
"Calliptamus italicus","Animalia"
"Diabrotica virgifera","Animalia"
"Carpocapsa pomonella","Animalia"
"Salamandra salamandra","Animalia"
"Tarsiger cyanurus","Animalia"
"Anchomenus dorsalis","Animalia"
"Carabus violaceus","Animalia"
"Chrysotoxum octomaculatum","Animalia"
"Podarcis siculus","Animalia"
"Talpa europaea","Animalia"
"Natrix tessellata","Animalia"
"Podarcis muralis","Animalia"
"Eremias arguta","Animalia"
"Darevskia praticola","Animalia"
"Hyla arborea","Animalia"
"Rana temporaria","Animalia"
"Perdix perdix","Animalia"
"Podarcis tauricus","Animalia"
"Zootoca vivipara","Animalia"
"Anguis fragilis","Animalia"
"Pelophylax ridibundus","Animalia"
"Alnus incana","Plantae"
"Corythucha ciliata","Animalia"
"Melolontha melolontha","Animalia"
"Myelois circumvoluta","Animalia"
"Asclepias syriaca","Plantae"
"Echium vulgare","Plantae"
"Myotis bechsteinii","Animalia"
"Morus alba","Plantae"
"Mentha aquatica","Plantae"
"Medicago sativa","Plantae"
"Centaurea cyanus","Plantae"
"Medicago sativa","Plantae"
"Cirsium arvense","Plantae"
"Vicia villosa","Plantae"
"Gleditsia triacanthos","Plantae"
"Lythrum salicaria","Plantae"
"Origanum vulgare","Plantae"
"Carduus nutans","Plantae"
"Carduus nutans","Plantae"
"Dipsacus laciniatus","Plantae"
"Alnus glutinosa","Plantae"
"Scolymus hispanicus","Plantae"
"Salix alba","Plantae"
"Origanum vulgare","Plantae"
"Cichorium intybus","Plantae"
"Prunus spinosa","Plantae"
"Dactylis glomerata","Plantae"
"Robinia pseudoacacia","Plantae"
"Salvia pratensis","Plantae"
"Medicago lupulina","Plantae"
"Papaver rhoeas","Plantae"
"Eleocharis palustris","Plantae"
"Bellis perennis","Plantae"
"Hylotelephium telephium","Plantae"
"Galinsoga parviflora","Plantae"
"Scabiosa columbaria","Plantae"
"Medicago falcata","Plantae"
"Onobrychis viciifolia","Plantae"
"Amorpha fruticosa","Plantae"
"Teucrium chamaedrys","Plantae"
"Cyanus segetum","Plantae"
"Centaurea scabiosa","Plantae"
"Lamium galeobdolon","Plantae"
"Eupatorium cannabinum","Plantae"
"Tussilago farfara","Plantae"
"Cynodon dactylon","Plantae"
"Cervus elaphus","Animalia"
"Remiz pendulina","Animalia"
"Humulus lupulus","Plantae"
"Urtica dioica","Plantae"
"Geranium pratense","Plantae"
"Robinia pseudoacacia","Plantae"
"Vicia sativa","Plantae"
"Lithosia quadra","Animalia"
"Cynodon dactylon","Plantae"
"Fagus sylvatica","Plantae"
"Trifolium arvense","Plantae"
"Sambucus ebulus","Plantae"
"Dipsacus fullonum","Plantae"
"Tripolium pannonicum","Plantae"
"Berteroa incana","Plantae"
"Primula acaulis","Plantae"
"Ficaria verna","Plantae"
"Campanula rapunculoides","Plantae"
"Ajuga reptans","Plantae"
"Centaurea calcitrapa","Plantae"
"Astrantia major","Plantae"
"Salvia nemorosa","Plantae"
"Achillea millefolium","Plantae"
"Mentha vagans","Plantae"
"Stellaria aquaticum","Plantae"
"Iris pseudacorus","Plantae"
"Epilobium hirsutum","Plantae"
"Geranium phaeum","Plantae"
