"source","interaction","target"
"Vespa velutina","eats","Bombus lapidarius"
"Vespa velutina","eats","Polistes nimpha"
"Vespa velutina","createsHabitatFor","Robinia pseudoacacia"
"Vespa velutina","createsHabitatFor","Quercus robur"
"Pernis apivorus","preysOn","Vespa velutina"
"Gallus gallus","preysOn","Vespa velutina"
"Pernis apivorus","eats","Turdus pilaris"
"Gallus gallus","preysOn","Salamandra salamandra"
"Pernis apivorus","eats","Sylvia atricapilla"
"Pernis apivorus","preysOn","Turdus philomelos"
"Pernis apivorus","eats","Podarcis siculus"
"Pernis apivorus","eats","Talpa europaea"
"Pernis apivorus","eats","Natrix tessellata"
"Pernis apivorus","eats","Garrulus glandarius"
"Pernis apivorus","eats","Bufo bufo"
"Pernis apivorus","eats","Emberiza citrinella"
"Pernis apivorus","eats","Podarcis muralis"
"Pernis apivorus","eats","Eremias arguta"
"Pernis apivorus","eats","Darevskia praticola"
"Pernis apivorus","eats","Hyla arborea"
"Pernis apivorus","eats","Rana temporaria"
"Pernis apivorus","eats","Apis mellifera"
"Pernis apivorus","eats","Lacerta trilineata"
"Pernis apivorus","eats","Prunella modularis"
"Pernis apivorus","eats","Turdus merula"
"Pernis apivorus","eats","Turdus philomelos"
"Pernis apivorus","eats","Muscicapa striata"
"Pernis apivorus","eats","Columba palumbus"
"Pernis apivorus","eats","Perdix perdix"
"Pernis apivorus","eats","Lacerta agilis"
"Pernis apivorus","eats","Natrix natrix"
"Pernis apivorus","eats","Podarcis tauricus"
"Pernis apivorus","eats","Zootoca vivipara"
"Pernis apivorus","eats","Anguis fragilis"
"Pernis apivorus","eats","Mustela nivalis"
"Pernis apivorus","eats","Pelophylax ridibundus"
"Pernis apivorus","eats","Lacerta viridis"
"Gallus gallus","interactsWith","Gallus gallus"
"Apis mellifera","interactsWith","Melilotus albus"
"Apis mellifera","visitsFlowersOf","Trifolium repens"
"Apis mellifera","eats","Trifolium repens"
"Quercus robur","createsHabitatFor","Barbastella barbastellus"
"Apis mellifera","eats","Cirsium vulgare"
"Apis mellifera","visitsFlowersOf","Taraxacum officinale"
"Eristalis tenax","visitsFlowersOf","Hedera helix"
"Eristalis tenax","interactsWith","Hedera helix"
"Apis mellifera","visitsFlowersOf","Asclepias syriaca"
"Apis mellifera","visitsFlowersOf","Echium vulgare"
"Apis mellifera","visitsFlowersOf","Hedera helix"
"Apis mellifera","eats","Hedera helix"
"Apis mellifera","hasHost","Melilotus albus"
"Polistes dominula","interactsWith","Hedera helix"
"Apis mellifera","visitsFlowersOf","Prunella vulgaris"
"Polistes dominula","visitsFlowersOf","Hedera helix"
"Vespula germanica","visitsFlowersOf","Hedera helix"
"Apis mellifera","pollinates","Cirsium arvense"
"Quercus robur","createsHabitatFor","Myotis bechsteinii"
"Apis mellifera","eats","Taraxacum officinale"
"Syritta pipiens","visitsFlowersOf","Hedera helix"
"Apis mellifera","visitsFlowersOf","Melilotus albus"
"Apis mellifera","interactsWith","Hedera helix"
"Vanessa atalanta","hasHost","Urtica dioica"
"Apis mellifera","interactsWith","Apis mellifera"
"Vanessa atalanta","visitsFlowersOf","Hedera helix"
"Volucella zonaria","visitsFlowersOf","Hedera helix"
"Episyrphus balteatus","visitsFlowersOf","Hedera helix"
"Apis mellifera","interactsWith","Trifolium repens"
"Apis mellifera","visitsFlowersOf","Plantago lanceolata"
"Apis mellifera","visitsFlowersOf","Cirsium vulgare"
"Apis mellifera","visitsFlowersOf","Mentha aquatica"
"Syritta pipiens","interactsWith","Hedera helix"
"Episyrphus balteatus","interactsWith","Hedera helix"
"Apis mellifera","visitsFlowersOf","Glechoma hederacea"
"Bombus lapidarius","visitsFlowersOf","Trifolium repens"
"Polistes dominula","visits","Asclepias syriaca"
"Apis mellifera","visitsFlowersOf","Trifolium pratense"
"Apis mellifera","eats","Melilotus albus"
"Vanessa atalanta","eats","Hedera helix"
"Apis mellifera","pollinates","Medicago sativa"
"Apis mellifera","eats","Centaurea cyanus"
"Polyommatus icarus","eats","Lotus corniculatus"
"Apis mellifera","visitsFlowersOf","Medicago sativa"
"Apis mellifera","interactsWith","Cirsium arvense"
"Volucella zonaria","interactsWith","Hedera helix"
"Apis mellifera","visitsFlowersOf","Cirsium arvense"
"Apis mellifera","pollinates","Asclepias syriaca"
"Syritta pipiens","visitsFlowersOf","Achillea millefolium"
"Apis mellifera","interactsWith","Taraxacum officinale"
"Apis mellifera","eats","Vicia villosa"
"Eristalis arbustorum","eats","Achillea millefolium"
"Eristalis pertinax","eats","Hedera helix"
"Vespula germanica","interactsWith","Hedera helix"
"Vespula germanica","eats","Hedera helix"
"Vanessa atalanta","interactsWith","Urtica dioica"
"Apis mellifera","visitsFlowersOf","Lythrum salicaria"
"Apis mellifera","eats","Origanum vulgare"
"Apis mellifera","visitsFlowersOf","Carduus nutans"
"Apis mellifera","interactsWith","Carduus nutans"
"Polyommatus icarus","visitsFlowersOf","Hedera helix"
"Vanessa atalanta","interactsWith","Hedera helix"
"Vanessa atalanta","eats","Urtica dioica"
"Syritta pipiens","visitsFlowersOf","Erigeron annuus"
"Apis mellifera","visitsFlowersOf","Achillea millefolium"
"Apis mellifera","visits","Trifolium repens"
"Apis mellifera","eats","Lotus corniculatus"
"Apis mellifera","eats","Achillea millefolium"
"Apis mellifera","eats","Dipsacus laciniatus"
"Vespula germanica","visits","Hedera helix"
"Polyommatus icarus","visitsFlowersOf","Lotus corniculatus"
"Eristalis arbustorum","visitsFlowersOf","Achillea millefolium"
"Apis mellifera","visitsFlowersOf","Origanum vulgare"
"Epistrophe eligans","interactsWith","Hedera helix"
"Volucella zonaria","eats","Hedera helix"
"Eristalis tenax","eats","Achillea millefolium"
"Apis mellifera","visits","Asclepias syriaca"
"Apis mellifera","interactsWith","Cirsium vulgare"
"Apis mellifera","visitsFlowersOf","Scolymus hispanicus"
"Syritta pipiens","visits","Achillea millefolium"
"Syritta pipiens","visits","Erigeron annuus"
"Apis mellifera","hasHost","Asclepias syriaca"
"Mantis religiosa","eats","Apis mellifera"
"Polyommatus icarus","interactsWith","Hedera helix"
"Coenonympha pamphilus","visitsFlowersOf","Hedera helix"
"Vanessa atalanta","visitsFlowersOf","Taraxacum officinale"
"Vanessa atalanta","visits","Hedera helix"
"Syritta pipiens","hasHost","Achillea millefolium"
"Syritta pipiens","eats","Achillea millefolium"
"Eristalis tenax","visitsFlowersOf","Taraxacum officinale"
"Eristalis tenax","visitsFlowersOf","Cichorium intybus"
"Eristalis pertinax","visitsFlowersOf","Hedera helix"
"Apis mellifera","visitsFlowersOf","Centaurea cyanus"
"Apis mellifera","interactsWith","Prunus spinosa"
"Vespula germanica","preysOn","Apis mellifera"
"Pararge aegeria","eats","Dactylis glomerata"
"Episyrphus balteatus","visitsFlowersOf","Plantago lanceolata"
"Robinia pseudoacacia","interactsWith","Robinia pseudoacacia"
"Apis mellifera","visitsFlowersOf","Robinia pseudoacacia"
"Apis mellifera","visitsFlowersOf","Salvia pratensis"
"Apis mellifera","interactsWith","Plantago lanceolata"
"Polyommatus icarus","eats","Medicago lupulina"
"Hedera helix","hasDispersalVector","Turdus merula"
"Eristalis tenax","interactsWith","Achillea millefolium"
"Apis mellifera","visitsFlowersOf","Sonchus oleraceus"
"Apis mellifera","preysOn","Apis mellifera"
"Eristalis tenax","visitsFlowersOf","Mentha aquatica"
"Eristalis tenax","visitsFlowersOf","Achillea millefolium"
"Autographa gamma","eats","Medicago sativa"
"Bombus lapidarius","visitsFlowersOf","Echium vulgare"
"Bombus lapidarius","visitsFlowersOf","Papaver rhoeas"
"Apis mellifera","visitsFlowersOf","Lotus corniculatus"
"Salix alba","interactsWith","Salix alba"
"Helophilus trivittatus","visitsFlowersOf","Hedera helix"
"Helophilus trivittatus","interactsWith","Hedera helix"
"Hedera helix","hasDispersalVector","Turdus viscivorus"
"Coenonympha pamphilus","eats","Anthoxanthum odoratum"
"Vanessa atalanta","visitsFlowersOf","Asclepias syriaca"
"Eristalis tenax","visitsFlowersOf","Sonchus oleraceus"
"Eristalis tenax","visitsFlowersOf","Origanum vulgare"
"Eristalis arbustorum","interactsWith","Achillea millefolium"
"Sphaerophoria scripta","visitsFlowersOf","Bellis perennis"
"Graphomya maculata","visitsFlowersOf","Hedera helix"
"Apis mellifera","visitsFlowersOf","Hylotelephium telephium"
"Apis mellifera","visits","Glechoma hederacea"
"Apis mellifera","interactsWith","Asclepias syriaca"
"Episyrphus balteatus","visitsFlowersOf","Echium vulgare"
"Episyrphus balteatus","visitsFlowersOf","Papaver rhoeas"
"Apis mellifera","visitsFlowersOf","Galinsoga parviflora"
"Apis mellifera","visitsFlowersOf","Scabiosa columbaria"
"Polyommatus icarus","eats","Medicago falcata"
"Polyommatus icarus","eats","Trifolium repens"
"Polyommatus icarus","eats","Trifolium pratense"
"Polyommatus icarus","visitsFlowersOf","Onobrychis viciifolia"
"Hedera helix","hasDispersalVector","Turdus iliacus"
"Alnus glutinosa","interactsWith","Alnus glutinosa"
"Vanessa atalanta","visitsFlowersOf","Cirsium arvense"
"Syritta pipiens","hasHost","Erigeron annuus"
"Eristalis tenax","visitsFlowersOf","Cirsium arvense"
"Apis mellifera","visitsFlowersOf","Cichorium intybus"
"Apis mellifera","visitsFlowersOf","Amorpha fruticosa"
"Apis mellifera","visitsFlowersOf","Bellis perennis"
"Apis mellifera","visits","Melilotus albus"
"Apis mellifera","eats","Teucrium chamaedrys"
"Apis mellifera","eats","Plantago lanceolata"
"Apis mellifera","eats","Sonchus oleraceus"
"Syritta pipiens","interactsWith","Melilotus albus"
"Episyrphus balteatus","visitsFlowersOf","Bellis perennis"
"Bombus lapidarius","visitsFlowersOf","Cyanus segetum"
"Bombus lapidarius","visitsFlowersOf","Lotus corniculatus"
"Bombus lapidarius","visitsFlowersOf","Centaurea scabiosa"
"Apis mellifera","visitsFlowersOf","Malva sylvestris"
"Apis mellifera","visitsFlowersOf","Lamium galeobdolon"
"Apis mellifera","visitsFlowersOf","Centaurea scabiosa"
"Apis mellifera","pollinates","Echium vulgare"
"Apis mellifera","interactsWith","Lotus corniculatus"
"Apatura ilia","eats","Salix alba"
"Mantis religiosa","eats","Mantis religiosa"
"Polistes dominula","eats","Melilotus albus"
"Melanostoma mellinum","visitsFlowersOf","Plantago lanceolata"
"Polyommatus icarus","visitsFlowersOf","Medicago sativa"
"Polyommatus icarus","visitsFlowersOf","Origanum vulgare"
"Polyommatus icarus","hasHost","Medicago sativa"
"Helophilus trivittatus","visitsFlowersOf","Eupatorium cannabinum"
"Hedera helix","interactsWith","Hedera helix"
"Hedera helix","hasDispersalVector","Turdus torquatus"
"Hedera helix","hasDispersalVector","Sylvia atricapilla"
"Quercus robur","interactsWith","Quercus robur"
"Quercus robur","eats","Quercus robur"
"Coenonympha pamphilus","interactsWith","Hedera helix"
"Vanessa atalanta","visitsFlowersOf","Eupatorium cannabinum"
"Vanessa atalanta","visitsFlowersOf","Urtica dioica"
"Syritta pipiens","visitsFlowersOf","Tanacetum vulgare"
"Syritta pipiens","interactsWith","Tanacetum vulgare"
"Syritta pipiens","eats","Hedera helix"
"Syritta pipiens","eats","Origanum vulgare"
"Xylota segnis","interactsWith","Hedera helix"
"Eristalis arbustorum","visitsFlowersOf","Hedera helix"
"Eupeodes corollae","visitsFlowersOf","Hedera helix"
"Sphaerophoria scripta","visitsFlowersOf","Hedera helix"
"Sphaerophoria scripta","interactsWith","Hedera helix"
"Episyrphus balteatus","eats","Hedera helix"
"Graphomya maculata","interactsWith","Hedera helix"
"Apis mellifera","visitsFlowersOf","Tussilago farfara"
"Apis mellifera","visitsFlowersOf","Prunus spinosa"
"Apis mellifera","visitsFlowersOf","Dipsacus laciniatus"
"Apis mellifera","interactsWith","Origanum vulgare"
"Apis mellifera","eats","Asclepias syriaca"
"Vespula germanica","eats","Apis mellifera"
"Pararge aegeria","eats","Cynodon dactylon"
"Syritta pipiens","interactsWith","Achillea millefolium"
"Episyrphus balteatus","visitsFlowersOf","Trifolium repens"
"Episyrphus balteatus","visitsFlowersOf","Convolvulus arvensis"
"Robinia pseudoacacia","interactsWith","Apis mellifera"
"Gleditsia triacanthos","interactsWith","Gleditsia triacanthos"
"Vanessa atalanta","eats","Humulus lupulus"
"Vanessa atalanta","adjacentTo","Urtica dioica"
"Bombus lapidarius","visitsFlowersOf","Geranium pratense"
"Bombus lapidarius","visitsFlowersOf","Trifolium pratense"
"Bombus lapidarius","visitsFlowersOf","Plantago lanceolata"
"Bombus lapidarius","pollinates","Cirsium arvense"
"Apis mellifera","visitsFlowersOf","Geranium pratense"
"Apis mellifera","visitsFlowersOf","Onobrychis viciifolia"
"Apis mellifera","mutualistOf","Scabiosa ochroleuca"
"Pararge aegeria","interactsWith","Taraxacum officinale"
"Mantis religiosa","preysOn","Mantis religiosa"
"Polistes dominula","visitsFlowersOf","Achillea millefolium"
"Polistes dominula","visitsFlowersOf","Vicia sativa"
"Polistes dominula","visits","Melilotus albus"
"Polistes dominula","preysOn","Lithosia quadra"
"Polistes dominula","interactsWith","Asclepias syriaca"
"Polistes dominula","eats","Achillea millefolium"
"Melanostoma mellinum","visitsFlowersOf","Mentha aquatica"
"Polyommatus icarus","interactsWith","Lotus corniculatus"
"Helophilus trivittatus","visitsFlowersOf","Lythrum salicaria"
"Hedera helix","hasDispersalVector","Turdus philomelos"
"Hedera helix","hasDispersalVector","Erithacus rubecula"
"Fagus sylvatica","interactsWith","Mikiola fagi"
"Coenonympha pamphilus","visitsFlowersOf","Trifolium arvense"
"Vanessa atalanta","interactsWith","Taraxacum officinale"
"Vanessa atalanta","interactsWith","Achillea millefolium"
"Volucella zonaria","visitsFlowersOf","Sambucus ebulus"
"Volucella bombylans","mutualistOf","Dipsacus fullonum"
"Volucella inanis","visitsFlowersOf","Origanum vulgare"
"Mallota florea","visitsFlowersOf","Mentha aquatica"
"Mallota florea","visitsFlowersOf","Plantago lanceolata"
"Eristalis tenax","visitsFlowersOf","Tanacetum vulgare"
"Eristalis tenax","visitsFlowersOf","Tripolium pannonicum"
"Eristalis tenax","interactsWith","Cirsium arvense"
"Eristalis tenax","interactsWith","Berteroa incana"
"Eristalis tenax","eats","Taraxacum officinale"
"Eristalis arbustorum","eats","Taraxacum officinale"
"Eristalis arbustorum","eats","Bellis perennis"
"Eristalis pertinax","visitsFlowersOf","Primula acaulis"
"Eupeodes luniger","ecologicallyRelatedTo","Bistorta vivipara"
"Eupeodes corollae","visitsFlowersOf","Convolvulus arvensis"
"Sphaerophoria scripta","eats","Achillea millefolium"
"Scaeva pyrastri","visitsFlowersOf","Plantago lanceolata"
"Episyrphus balteatus","interactsWith","Lythrum salicaria"
"Apis mellifera","visitsFlowersOf","Ficaria verna"
"Apis mellifera","visitsFlowersOf","Campanula rapunculoides"
"Apis mellifera","visitsFlowersOf","Anemone nemorosa"
"Apis mellifera","visitsFlowersOf","Vicia villosa"
"Apis mellifera","visitsFlowersOf","Ajuga reptans"
"Apis mellifera","visits","Taraxacum officinale"
"Apis mellifera","visits","Cichorium intybus"
"Apis mellifera","visits","Anemone nemorosa"
"Apis mellifera","visits","Origanum vulgare"
"Apis mellifera","interactsWith","Trifolium pratense"
"Apis mellifera","interactsWith","Tanacetum vulgare"
"Apis mellifera","interactsWith","Centaurea cyanus"
"Apis mellifera","interactsWith","Erodium cicutarium"
"Apis mellifera","eats","Amorpha fruticosa"
"Apis mellifera","eats","Centaurea calcitrapa"
"Apis mellifera","eats","Tanacetum vulgare"
"Apis mellifera","eats","Astrantia major"
"Apis mellifera","eats","Salvia nemorosa"
"Apis mellifera","eats","Erodium cicutarium"
"Paragus haemorrhous","visitsFlowersOf","Achillea millefolium"
"Eristalis tenax","mutualistOf","Mentha vagans"
"Episyrphus balteatus","visitsFlowersOf","Achillea millefolium"
"Episyrphus balteatus","pollinates","Cirsium vulgare"
"Episyrphus balteatus","pollinates","Potentilla erecta"
"Episyrphus balteatus","pollinates","Silene dioica"
"Volucella zonaria","visitsFlowersOf","Mentha aquatica"
"Bombus lapidarius","visitsFlowersOf","Prunella vulgaris"
"Bombus lapidarius","visitsFlowersOf","Iris pseudacorus"
"Bombus lapidarius","visitsFlowersOf","Cirsium arvense"
"Bombus lapidarius","visitsFlowersOf","Scabiosa columbaria"
"Bombus lapidarius","pollinates","Trifolium pratense"
"Apis mellifera","visitsFlowersOf","Linaria vulgaris"
"Apis mellifera","visitsFlowersOf","Epilobium hirsutum"
"Apis mellifera","visitsFlowersOf","Geranium phaeum"
"Apis mellifera","pollinates","Trifolium repens"
"Apis mellifera","interactsWith","Medicago sativa"
"Pararge aegeria","visits","Impatiens glandulifera"
"Pararge aegeria","interactsWith","Ficaria verna"
"Pararge aegeria","interactsWith","Fagus sylvatica"
"Mantis religiosa","preysOn","Vanessa atalanta"
"Mantis religiosa","interactsWith","Apis mellifera"
"Polistes dominula","visitsFlowersOf","Taraxacum officinale"
"Polistes dominula","visitsFlowersOf","Asclepias syriaca"
"Polistes dominula","visitsFlowersOf","Eryngium campestre"
"Polistes dominula","visits","Achillea millefolium"
"Polistes dominula","visits","Cirsium arvense"
"Polistes dominula","visits","Eryngium campestre"
"Polistes dominula","interactsWith","Achillea millefolium"
"Polistes dominula","interactsWith","Prunus spinosa"
"Polistes dominula","interactsWith","Vicia sativa"
"Polistes dominula","eats","Lithosia quadra"
"Polistes dominula","eats","Asclepias syriaca"
"Polistes dominula","eats","Cirsium arvense"
"Polistes dominula","eats","Hedera helix"
"Epistrophe nitidicollis","visitsFlowersOf","Salix alba"
"Epistrophe eligans","visitsFlowersOf","Salix alba"
"Epistrophe eligans","visitsFlowersOf","Hedera helix"
"Melanostoma mellinum","visitsFlowersOf","Impatiens noli-tangere"
"Melanostoma mellinum","visitsFlowersOf","Salix alba"
"Melanostoma mellinum","visitsFlowersOf","Hedera helix"
"Melanostoma mellinum","visitsFlowersOf","Impatiens parviflora"
"Melanostoma mellinum","visitsFlowersOf","Alliaria petiolata"
"Melanostoma mellinum","visitsFlowersOf","Bellis perennis"
"Melanostoma mellinum","visitsFlowersOf","Geranium robertianum"
"Melanostoma mellinum","visitsFlowersOf","Silene dioica"
"Melanostoma mellinum","visitsFlowersOf","Lamiastrum galeobdolon"
"Melanostoma mellinum","interactsWith","Hedera helix"
"Salix alba","coOccursWith","Alnus glutinosa"
"Salix alba","hasHost","Salix alba"
"Robinia pseudoacacia","interactsWith","Parectopa robiniella"
"Polyommatus icarus","visitsFlowersOf","Plantago lanceolata"
"Polyommatus icarus","visitsFlowersOf","Cirsium arvense"
"Polyommatus icarus","visitsFlowersOf","Scabiosa columbaria"
"Polyommatus icarus","eats","Medicago sativa"
"Polyommatus icarus","visitsFlowersOf","Eupatorium cannabinum"
"Polyommatus icarus","visitsFlowersOf","Trifolium pratense"
"Polyommatus icarus","visitsFlowersOf","Trifolium repens"
"Polyommatus icarus","visitsFlowersOf","Lythrum salicaria"
"Polyommatus icarus","visitsFlowersOf","Tanacetum vulgare"
"Polyommatus icarus","visitsFlowersOf","Erigeron annuus"
"Polyommatus icarus","visitsFlowersOf","Convolvulus arvensis"
"Polyommatus icarus","visitsFlowersOf","Mentha longifolia"
"Polyommatus icarus","visits","Hedera helix"
"Polyommatus icarus","hasHost","Lotus corniculatus"
"Helophilus trivittatus","visitsFlowersOf","Salix alba"
"Helophilus trivittatus","visitsFlowersOf","Achillea millefolium"
"Helophilus trivittatus","visitsFlowersOf","Cirsium arvense"
"Helophilus trivittatus","visitsFlowersOf","Tripolium pannonicum"
"Helophilus trivittatus","visitsFlowersOf","Berteroa incana"
"Xanthogramma pedissequum","visitsFlowersOf","Salix alba"
"Xanthogramma pedissequum","visitsFlowersOf","Hedera helix"
"Xanthogramma festiva","visitsFlowersOf","Salix alba"
"Criorhina berberina","visitsFlowersOf","Salix alba"
"Criorhina berberina","visitsFlowersOf","Hedera helix"
"Hedera helix","interactsWith","Apis mellifera"
"Hedera helix","hasDispersalVector","Fringilla coelebs"
"Hedera helix","hasDispersalVector","Phoenicurus ochruros"
"Fagus sylvatica","coOccursWith","Alnus glutinosa"
"Quercus robur","coOccursWith","Alnus glutinosa"
"Alnus glutinosa","interactsWith","Meliscaeva auricollis"
"Cervus elaphus","eats","Hedera helix"
"Coenonympha pamphilus","visitsFlowersOf","Eupatorium cannabinum"
"Coenonympha pamphilus","visitsFlowersOf","Achillea millefolium"
"Coenonympha pamphilus","eats","Medicago falcata"
"Vanessa atalanta","visitsFlowersOf","Prunus spinosa"
"Vanessa atalanta","visitsFlowersOf","Origanum vulgare"
"Vanessa atalanta","visitsFlowersOf","Glechoma hederacea"
"Vanessa atalanta","visitsFlowersOf","Dipsacus fullonum"
"Vanessa atalanta","interactsWith","Asclepias syriaca"
"Vanessa atalanta","interactsWith","Cirsium arvense"
"Vanessa atalanta","eats","Eupatorium cannabinum"
"Vanessa atalanta","eats","Dipsacus laciniatus"
"Lacanobia oleracea","pathogenOf","Lacanobia oleracea"
"Scathophaga stercoraria","interactsWith","Achillea millefolium"
"Scathophaga stercoraria","interactsWith","Cirsium arvense"
"Syritta pipiens","visitsFlowersOf","Alliaria petiolata"
"Syritta pipiens","interactsWith","Erigeron annuus"
"Volucella zonaria","visitsFlowersOf","Eupatorium cannabinum"
"Volucella zonaria","visitsFlowersOf","Dipsacus fullonum"
"Volucella zonaria","visitsFlowersOf","Succisa pratensis"
"Volucella zonaria","interactsWith","Prunus spinosa"
"Volucella zonaria","eats","Sambucus ebulus"
"Volucella bombylans","visits","Achillea millefolium"
"Volucella bombylans","interactsWith","Cornus sanguinea"
"Volucella inanis","visitsFlowersOf","Cirsium arvense"
"Volucella inanis","visitsFlowersOf","Hedera helix"
"Xylota segnis","visitsFlowersOf","Salix alba"
"Xylota segnis","visitsFlowersOf","Hedera helix"
"Mallota florea","visitsFlowersOf","Salix alba"
"Mallota florea","visitsFlowersOf","Hedera helix"
"Eristalis tenax","visitsFlowersOf","Eupatorium cannabinum"
"Eristalis tenax","visitsFlowersOf","Tussilago farfara"
"Eristalis tenax","visitsFlowersOf","Centaurea cyanus"
"Eristalis tenax","visits","Cirsium arvense"
"Eristalis tenax","visits","Hedera helix"
"Eristalis tenax","interactsWith","Quercus robur"
"Eristalis tenax","interactsWith","Eristalis tenax"
"Eristalis tenax","eats","Hedera helix"
"Eristalis tenax","eats","Origanum vulgare"
"Eristalis tenax","eats","Scabiosa ochroleuca"
"Eristalis arbustorum","visits","Taraxacum officinale"
"Eristalis arbustorum","interactsWith","Hedera helix"
"Eristalis arbustorum","visitsFlowersOf","Erigeron annuus"
"Eristalis arbustorum","interactsWith","Conium maculatum"
"Eristalis arbustorum","interactsWith","Mentha aquatica"
"Eristalis arbustorum","interactsWith","Apis mellifera"
"Eristalis arbustorum","eats","Hedera helix"
"Eristalis arbustorum","eats","Conium maculatum"
"Eristalis arbustorum","eats","Convolvulus arvensis"
"Eristalis arbustorum","eats","Origanum vulgare"
"Eristalis pertinax","visitsFlowersOf","Salix alba"
"Eristalis pertinax","visitsFlowersOf","Eupatorium cannabinum"
"Eupeodes luniger","visitsFlowersOf","Salix alba"
"Eupeodes luniger","visitsFlowersOf","Hedera helix"
"Eupeodes luniger","visitsFlowersOf","Silene dioica"
"Eupeodes corollae","visitsFlowersOf","Taraxacum officinale"
"Eupeodes corollae","visitsFlowersOf","Geranium robertianum"
"Eupeodes corollae","interactsWith","Hedera helix"
"Eupeodes corollae","interactsWith","Convolvulus arvensis"
"Sphaerophoria scripta","visitsFlowersOf","Salix alba"
"Sphaerophoria scripta","visitsFlowersOf","Trifolium repens"
"Sphaerophoria scripta","visitsFlowersOf","Plantago lanceolata"
"Sphaerophoria scripta","visitsFlowersOf","Achillea millefolium"
"Sphaerophoria scripta","pollinates","Tanacetum vulgare"
"Sphaerophoria scripta","visitsFlowersOf","Convolvulus arvensis"
"Scaeva pyrastri","visitsFlowersOf","Salix alba"
"Scaeva pyrastri","visitsFlowersOf","Hedera helix"
